id,ra,dec,maj_ax,min_ax,mag
M1,05h 34m 31.9s,+22° 00' 52.2",7.0,4.83,8.4
M2,21h 33m 27.0s,-00° 49' 23.7",16.0,16.0,6.5
M3,13h 42m 11.6s,+28° 22' 38.2",18.0,18.0,6.2
M4,16h 23m 35.2s,-26° 31' 32.7",26.0,26.0,5.6
M5,15h 18m 33.2s,+02° 04' 51.7",23.0,23.0,5.6
M6,17h 40.1m,-32° 13',25.0,25.0,4.2
M7,17h 53m 51.2s,-34° 47' 34",80.0,80.0,3.3
M8,18h 03m 37s,-24° 23' 12",90.0,40.0,4.6
M9,17h 19m 11.8s,-18° 30' 58.5",9.3,9.3,7.7
M10,16h 57m 8.9s,-04° 05' 58.1",20.0,20.0,6.6
M11,18h 51.1m,-06° 16',22.8,22.8,5.8
M12,16h 47m 14.2s,-01° 56' 54.7",16.0,16.0,6.7
M13,16h 41m 41.2s,+36° 27' 35.5",20.0,20.0,5.8
M14,17h 37m 36.2s,-03° 14' 45.3",11.0,11.0,7.6
M15,21h 29m 58.3s,+12° 10' 01.2",18.0,18.0,6.2
M16,18h 18m 48s,-13° 49',70.0,50.0,6.4
M17,18h 20m 26s,-16° 10' 36",11.0,11.0,6.0
M18,18h 19.9m,-17° 08',9.8,9.8,7.5
M19,17h 02m 37.7s,-26° 16' 04.6",17.0,17.0,6.8
M20,18h 02m 23s,-23° 01' 48",28.0,28.0,6.3
M21,18h 04.6m,-22° 30',14.0,14.0,6.5
M22,18h 36m 23.9s,-23° 54' 17.1",32.0,32.0,5.1
M23,17h 56.8m,-19° 01',35.0,35.0,5.5
M24,18h 17m,-18° 33',120.0,60.0,2.5
M25,18h 31.6m,-19° 15',36.0,36.0,4.6
M26,18h 45.2m,-09° 24',14.0,14.0,8.0
M27,19h 59m 36.3s,+22° 43' 16.1",8.0,5.6,7.4
M28,18h 24m 32.9s,-24° 52' 11.4",11.2,11.2,6.8
M29,20h 23m 56s,+38° 31' 24",7.0,7.0,7.1
M30,21h 40m 22.1s,-23° 10' 47.5",12.0,12.0,7.2
M31,00h 42m 44.3s,+41° 16' 09",190.0,60.0,3.4
M32,00h 42m 41.8s,+40° 51' 55",8.7,6.5,8.1
M33,01h 33m 50.0s,+30° 39' 36.7",70.8,41.7,5.7
M34,02h 42.1m,+42° 46',35.0,35.0,5.5
M35,06h 09.1m,+24° 21',28.0,28.0,5.3
M36,05h 36m 12s,+34° 08' 04",12.0,12.0,6.3
M37,05h 52m 18s,+32° 33' 02",24.0,24.0,6.2
M38,05h 28m 42s,+35° 51' 18",21.0,21.0,7.4
M39,21h 31m 42s,+48° 26' 00",29.0,29.0,4.6
M40,12h 22m 12.5s,+58° 04' 59",0.86,0.86,8.4
M41,06h 46.0m,-20° 46',38.0,38.0,4.5
M42,05h 35m 17.3s,-05° 23' 28",85.0,60.0,4.0
M43,05h 35.6m,-05° 16',20.0,15.0,9.0
M44,08h 40.4m,+19° 59',95.0,95.0,3.7
M45,03h 47m 24s,+24° 07' 00",110.0,110.0,1.6
M46,07h 41.8m,-14° 49',27.0,27.0,6.1
M47,07h 36.6m,-14° 30',30.0,30.0,4.4
M48,08h 13.7m,-05° 45',54.0,54.0,5.8
M49,12h 29m 46.7s,+08° 00' 02",10.0,8.0,8.4
M50,07h 02.4m,-08° 23',16.0,16.0,5.9
M51,13h 29m 52.7s,+47° 11' 43",11.2,6.9,8.4
