id,ra,dec,maj_ax,min_ax
NGC1,00:07:15.84,+27:42:29.1,1.57,1.07
NGC2,00:07:17.11,+27:40:42.1,0.95,0.47
NGC3,00:07:16.80,+08:18:05.9,1.02,0.59
NGC4,00:07:24.41,+08:22:25.6,0.53,0.24
NGC5,00:07:48.87,+35:21:44.3,0.98,0.59
NGC6,00:09:32.70,+33:18:31.2,1.73,1.34
NGC7,00:08:20.96,-29:54:54.0,2.47,0.53
NGC8,00:08:45.30,+23:50:20.0,,
NGC9,00:08:54.70,+23:49:01.1,0.7,0.31
NGC10,00:08:34.54,-33:51:30.0,2.35,1.27
NGC11,00:08:42.50,+37:26:52.5,1.44,0.22
NGC12,00:08:44.75,+04:36:45.1,1.52,1.21
NGC13,00:08:47.72,+33:26:00.0,2.28,0.6
NGC14,00:08:46.40,+15:48:56.0,1.53,1.01
NGC15,00:09:02.47,+21:37:28.3,1.07,0.56
NGC16,00:09:04.29,+27:43:45.9,1.74,0.85
NGC17,00:11:06.55,-12:06:26.3,1.15,0.39
NGC18,00:09:23.10,+27:43:55.5,,
NGC19,00:10:40.87,+32:58:59.1,1.21,0.6
NGC20,00:09:32.70,+33:18:31.2,,
NGC21,00:10:46.90,+33:21:10.2,1.38,0.63
NGC22,00:09:48.19,+27:49:56.3,1.21,0.74
NGC23,00:09:53.41,+25:55:25.6,1.55,1.22
NGC24,00:09:56.54,-24:57:47.3,6.18,2.4
NGC25,00:09:59.28,-57:01:15.0,1.43,1.1
NGC26,00:10:25.87,+25:49:54.6,1.12,0.76
NGC27,00:10:32.77,+28:59:46.5,1.22,0.46
NGC28,00:10:25.24,-56:59:20.9,0.92,0.81
NGC29,00:10:46.90,+33:21:10.2,,
NGC30,00:10:50.79,+21:58:37.1,,
NGC31,00:10:38.39,-56:59:11.4,1.17,0.53
NGC32,00:10:53.59,+18:47:45.6,,
NGC33,00:10:56.64,+03:40:33.3,,
NGC34,00:11:06.55,-12:06:26.3,,
NGC35,00:11:10.48,-12:01:15.3,0.76,0.62
NGC36,00:11:22.30,+06:23:21.7,2.14,1.32
NGC37,00:11:22.93,-56:57:26.4,1.11,0.68
NGC38,00:11:46.99,-05:35:10.6,1.14,1.05
NGC39,00:12:18.86,+31:03:39.9,1.1,0.99
NGC40,00:13:01.03,+72:31:19.0,0.8,
NGC41,00:12:47.97,+22:01:24.2,0.94,0.53
NGC42,00:12:56.35,+22:06:01.1,0.86,0.5
NGC43,00:13:00.75,+30:54:55.0,1.39,1.21
NGC44,00:13:13.40,+31:17:10.5,,
NGC45,00:14:03.99,-23:10:55.5,6.18,4.44
NGC46,00:14:09.86,+05:59:15.7,,
NGC47,00:14:30.64,-07:10:02.8,1.35,1.09
NGC48,00:14:02.19,+48:14:05.5,1.34,0.61
NGC49,00:14:22.43,+48:14:47.8,0.93,0.59
NGC50,00:14:44.57,-07:20:42.3,2.04,1.17
NGC51,00:14:34.92,+48:15:20.5,1.4,0.8
NGC52,00:14:40.11,+18:34:55.3,2.26,0.61
NGC53,00:14:42.85,-60:19:43.5,1.54,0.95
NGC54,00:15:07.67,-07:06:24.2,1.35,0.49
NGC55,00:14:53.60,-39:11:47.9,29.85,3.05
NGC56,00:15:20.66,+12:26:40.3,,
NGC57,00:15:30.87,+17:19:42.7,2.11,1.6
NGC58,00:14:30.64,-07:10:02.8,,
NGC59,00:15:25.13,-21:26:39.8,2.38,1.24
NGC60,00:15:58.24,-00:18:12.7,1.03,0.66
NGC61,00:16:24.20,-06:19:10.0,1.5,
NGC0061A,00:16:24.34,-06:19:18.9,1.48,1.14
NGC0061B,00:16:24.07,-06:19:07.9,1.34,1.04
NGC62,00:17:05.42,-13:29:13.6,0.99,0.73
NGC63,00:17:45.52,+11:27:01.2,1.72,1.04
NGC64,00:17:30.37,-06:49:28.6,1.38,0.9
NGC65,00:18:58.71,-22:52:49.3,1.02,0.83
NGC66,00:19:04.94,-22:56:11.0,1.24,0.5
NGC67,00:18:12.19,+30:03:19.9,0.49,0.33
NGC68,00:18:18.49,+30:04:18.3,1.29,1.2
NGC69,00:18:20.51,+30:02:23.9,0.6,0.43
NGC70,00:18:22.54,+30:04:46.5,1.69,1.39
NGC71,00:18:23.58,+30:03:47.7,1.95,1.46
NGC72,00:18:28.37,+30:02:26.5,1.16,1.06
NGC0072A,00:18:34.3,+30:02:11,0.38,0.29
NGC73,00:18:39.01,-15:19:20.1,1.68,1.01
NGC74,00:18:49.34,+30:03:43.1,0.83,0.35
NGC75,00:19:26.33,+06:26:57.7,1.82,1.82
NGC76,00:19:37.79,+29:56:01.9,1.28,1.0
NGC77,00:20:01.65,-22:31:55.6,0.48,0.44
NGC78,00:20:26.60,+00:49:47.0,1.9,
NGC0078A,00:20:25.79,+00:49:34.8,1.17,0.65
NGC0078B,00:20:27.51,+00:50:00.8,1.0,0.82
NGC79,00:21:02.85,+22:33:59.7,0.79,0.72
NGC80,00:21:10.85,+22:21:25.9,1.82,1.61
NGC81,00:21:13.27,+22:22:58.4,0.41,0.3
NGC82,00:21:17.55,+22:27:37.3,,
NGC83,00:21:22.40,+22:26:01.0,1.25,1.1
NGC84,00:21:21.25,+22:37:10.9,,
NGC85,00:21:25.53,+22:30:42.4,0.69,0.62
NGC0085B,00:21:29.0,+22:30:21,1.06,0.34
NGC86,00:21:28.57,+22:33:23.1,0.75,0.28
NGC87,00:21:14.27,-48:37:41.6,0.86,0.71
NGC88,00:21:22.12,-48:38:24.6,0.85,0.49
NGC89,00:21:24.36,-48:39:55.1,1.24,0.56
NGC90,00:21:51.40,+22:24:00.0,0.98,0.81
NGC91,00:21:51.72,+22:22:06.1,,
NGC92,00:21:31.70,-48:37:29.1,1.65,0.76
NGC93,00:22:03.23,+22:24:29.1,1.3,0.73
NGC94,00:22:13.53,+22:28:59.0,0.51,0.31
NGC95,00:22:13.54,+10:29:29.7,1.46,1.08
NGC96,00:22:17.71,+22:32:46.5,0.68,0.64
NGC97,00:22:30.00,+29:44:43.3,1.32,1.16
NGC98,00:22:49.54,-45:16:08.4,1.62,1.37
NGC99,00:23:59.39,+15:46:13.5,1.05,0.88
NGC100,00:24:02.84,+16:29:11.0,3.55,0.49
NGC101,00:23:54.61,-32:32:10.2,1.93,1.82
NGC102,00:24:36.53,-13:57:22.9,0.94,0.57
NGC103,00:25:16.40,+61:19:24.5,2.7,
NGC104,00:24:05.36,-72:04:53.2,31.8,
NGC105,00:25:16.78,+12:53:01.9,0.81,0.65
NGC106,00:24:43.75,-05:08:55.5,0.93,0.71
NGC107,00:25:42.20,-08:16:58.1,0.78,0.49
NGC108,00:25:59.73,+29:12:43.4,1.69,1.14
NGC109,00:26:14.64,+21:48:26.3,1.05,0.82
NGC110,00:27:25.01,+71:23:29.5,3.9,
NGC111,00:26:38.41,-02:37:29.9,,
NGC112,00:26:48.73,+31:42:11.9,1.02,0.49
NGC113,00:26:54.64,-02:30:03.2,1.23,1.0
NGC114,00:26:58.23,-01:47:10.5,0.98,0.75
NGC115,00:26:46.28,-33:40:37.5,2.09,0.73
NGC116,00:27:05.23,-07:40:05.7,1.08,0.53
NGC117,00:27:11.07,+01:20:01.4,1.0,0.46
NGC118,00:27:16.22,-01:46:48.5,0.8,0.58
NGC119,00:26:57.61,-56:58:41.0,1.2,1.12
NGC120,00:27:30.08,-01:30:48.5,1.51,0.5
NGC121,00:26:48.25,-71:32:08.4,3.8,3.1
NGC122,00:27:38.33,-01:38:25.7,,
NGC123,00:27:39.99,-01:37:39.5,,
NGC124,00:27:52.36,-01:48:36.7,1.26,0.72
NGC125,00:28:50.19,+02:50:19.9,1.4,1.22
NGC126,00:29:08.10,+02:48:40.0,0.71,0.58
NGC127,00:29:12.37,+02:52:21.7,0.93,0.42
NGC128,00:29:15.06,+02:51:50.6,3.16,0.87
NGC129,00:29:58.19,+60:12:40.2,5.4,
NGC130,00:29:18.55,+02:52:13.6,0.72,0.42
NGC131,00:29:38.52,-33:15:35.1,1.81,0.67
NGC132,00:30:10.71,+02:05:36.4,1.6,1.09
NGC133,00:31:16.96,+63:21:09.4,2.1,
NGC134,00:30:21.97,-33:14:38.5,8.38,1.79
NGC135,00:31:45.94,-13:20:14.9,0.66,0.35
NGC136,00:31:30.79,+61:30:33.3,3.3,
NGC137,00:30:58.10,+10:12:30.3,1.38,1.38
NGC138,00:30:59.24,+05:09:35.1,1.25,0.64
NGC139,00:31:06.40,+05:04:43.5,0.77,0.44
NGC140,00:31:20.47,+30:47:33.0,0.87,0.75
NGC141,00:31:17.44,+05:10:47.1,0.86,0.55
NGC142,00:31:08.08,-22:37:07.2,0.97,0.39
NGC143,00:31:15.62,-22:33:35.8,1.06,0.32
NGC144,00:31:20.67,-22:38:44.6,0.82,0.78
NGC145,00:31:45.74,-05:09:09.5,1.76,1.43
NGC146,00:33:03.94,+63:18:32.4,3.6,
NGC147,00:33:12.12,+48:30:31.5,9.4,5.41
NGC148,00:34:15.50,-31:47:09.6,1.98,0.71
NGC149,00:33:50.26,+30:43:24.3,0.91,0.49
NGC150,00:34:15.48,-27:48:12.9,3.54,1.6
NGC151,00:34:02.79,-09:42:19.2,3.74,2.31
NGC152,00:32:52.46,-73:07:13.4,3.0,3.0
NGC153,00:34:02.79,-09:42:19.2,,
NGC154,00:34:19.47,-12:39:22.7,1.01,0.9
NGC155,00:34:40.08,-10:45:59.4,1.49,1.29
NGC156,00:34:35.82,-08:20:24.2,,
NGC157,00:34:46.76,-08:23:47.2,3.7,1.9
NGC158,00:35:05.60,-08:20:44.6,,
NGC159,00:34:35.53,-55:47:23.9,1.4,0.57
NGC160,00:36:04.06,+23:57:28.4,1.98,0.89
NGC161,00:35:33.94,-02:50:55.3,1.36,0.72
NGC162,00:36:09.26,+23:57:44.7,,
NGC163,00:35:59.83,-10:07:18.1,1.43,1.32
NGC164,00:36:32.91,+02:44:59.2,0.53,0.49
NGC165,00:36:28.92,-10:06:22.2,1.63,1.06
NGC166,00:35:48.78,-13:36:38.3,0.89,0.33
NGC167,00:35:23.09,-23:22:30.0,0.97,0.54
NGC168,00:36:38.66,-22:35:36.6,1.31,0.29
NGC169,00:36:51.60,+23:59:27.3,1.53,0.66
NGC0169A,00:36:52.33,+23:59:05.9,0.83,0.44
NGC170,00:36:45.82,+01:53:11.3,0.7,0.51
NGC171,00:37:21.53,-19:56:03.3,2.06,1.29
NGC172,00:37:13.61,-22:35:13.3,2.04,0.4
NGC173,00:37:12.47,+01:56:32.1,2.09,1.54
NGC174,00:36:58.94,-29:28:40.2,1.57,0.69
NGC175,00:37:21.53,-19:56:03.3,,
NGC176,00:35:57.87,-73:09:59.0,1.2,1.2
NGC177,00:37:34.34,-22:32:57.3,2.11,0.5
NGC178,00:39:08.40,-14:10:22.2,2.11,0.58
NGC179,00:37:46.28,-17:50:58.1,1.12,0.96
NGC180,00:37:57.70,+08:38:06.7,2.2,1.48
NGC181,00:38:23.21,+29:28:21.3,0.86,0.25
NGC182,00:38:12.38,+02:43:42.8,1.86,1.3
NGC183,00:38:29.39,+29:30:40.4,1.02,0.75
NGC184,00:38:35.78,+29:26:51.4,0.73,0.27
NGC185,00:38:57.97,+48:20:14.6,12.94,10.76
NGC186,00:38:25.30,+03:09:59.2,1.39,0.83
NGC187,00:39:30.41,-14:39:22.7,1.53,0.49
NGC188,00:47:27.53,+85:16:10.7,17.7,
NGC189,00:39:35.70,+61:05:40.1,2.7,
NGC190,00:38:54.70,+07:03:35.0,1.1,
NGC0190 NED01,00:38:54.68,+07:03:45.7,0.93,0.76
NGC0190 NED02,00:38:54.73,+07:03:24.2,0.72,0.71
NGC191,00:38:59.44,-09:00:09.4,1.0,0.71
NGC0191A,00:39:00.24,-09:00:52.5,0.87,0.3
NGC192,00:39:13.43,+00:51:51.6,2.06,0.82
NGC193,00:39:18.59,+03:19:52.0,2.07,1.45
NGC194,00:39:18.42,+03:02:14.8,1.73,1.5
NGC195,00:39:35.79,-09:11:40.3,1.22,0.74
NGC196,00:39:17.84,+00:54:45.9,1.27,0.92
NGC197,00:39:18.79,+00:53:30.9,0.94,0.72
NGC198,00:39:22.98,+02:47:52.5,1.28,1.17
NGC199,00:39:33.17,+03:08:18.7,1.14,0.69
NGC200,00:39:34.88,+02:53:14.8,1.8,1.02
NGC201,00:39:34.82,+00:51:35.6,1.71,1.32
NGC202,00:39:39.85,+03:32:10.6,0.96,0.33
