designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
Abell  194,N/A,N/A,Gal CL,PSC,13.9,-,56',01 25.5,-01 30,21.375,-1.5,0 1 II
Abell  262,N/A,N/A,Gal CL,AND,13,-,100.8',01 52.7,+36 09,28.175,36.15,0 1 III
Abell  347,N/A,N/A,Gal CL,AND,13,-,56',02 25.1,+41 52,36.275,41.86666666666667,0 1 II-III
Abell  400,N/A,N/A,Gal CL,CET,13.9,-,56',02 57.6,+06 02,44.4,6.033333333333333,1 II-III
Abell  426,N/A,Perseus I,Gal CL,PER,13,-,190.4',03 19.7,+41 30,49.925,41.5,2 0 II-III
Abell  548,N/A,N/A,Gal CL,LEP,13.7,-,56',05 47.1,-25 38,86.775,-25.633333333333333,1 1 III
Abell  569,N/A,N/A,Gal CL,LYN,13.8,-,25.8',07 09.2,+48 38,107.3,48.63333333333333,0 1 II
Abell  779,N/A,N/A,Gal CL,LYN,13.8,-,50.4',09 19.9,+33 46,139.975,33.766666666666666,0 1 I-II
Abell 1060,N/A,Hydra I,Gal CL,HYA,12.7,-,168',10 36.8,-27 32,159.2,-27.533333333333335,1 0 II
Abell 1185,N/A,Arp 105,Gal CL,UMA,14,-,28',11 10.6,+28 46,167.64999999999998,28.766666666666666,1 2 II
Abell 1228,N/A,N/A,Gal CL,UMA,13.8,-,50.4',11 21.5,+34 20,170.375,34.333333333333336,1 1 II-III
Abell 1314,N/A,N/A,Gal CL,UMA,13.9,-,28',11 34.8,+49 03,173.7,49.05,0 1 III
Abell 1367,N/A,N/A,Gal CL,LEO,14,-,100.8',11 44.5,+19 50,176.125,19.833333333333332,2 I II-III
Abell 1656,N/A,Coma I,Gal CL,COM,13.5,-,224',12 59.8,+27 59,194.95,27.983333333333334,2 1 II
Abell 2147,N/A,N/A,Gal CL,HER,13.8,-,39.2',16 02.2,+15 53,240.54999999999998,15.883333333333333,1 1 III
Abell 2151,N/A,Her. Gx. Cl,Gal CL,HER,13.8,-,56',16 05.1,+17 43,241.275,17.716666666666665,2 1 III
Abell 2152,N/A,N/A,Gal CL,HER,13.8,-,37',16 05.3,+16 27,241.32500000000002,16.45,1 1 III
Abell 2162,N/A,N/A,Gal CL,CRB,13.7,-,56',16 12.5,+29 32,243.12499999999997,29.533333333333335,0 1 II-III
Abell 2197,N/A,N/A,Gal CL,HER,14,-,89.6',16 27.7,+40 55,246.92499999999998,40.916666666666664,1 1 III
Abell 2199,N/A,N/A,Gal CL,HER,13,-,89.6',16 28.6,+39 31,247.15,39.516666666666666,2 1 I
Abell 2634,N/A,N/A,Gal CL,PEG,13.8,-,22.4',23 38.3,+27 01,354.575,27.016666666666666,1 1 II
Abell 2666,N/A,N/A,Gal CL,PEG,13.8,-,78.4',23 50.9,+27 08,357.72499999999997,27.133333333333333,0 1 I
