designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
B  1,N/A,LDN 1472,Drk Neb,PER,--,--,30',03 32.9,+31 10,53.225,31.166666666666668,5 Ir
B  2,N/A,LDN 1472,Drk Neb,PER,--,--,20',03 33.5,+32 19,53.375,32.31666666666667,4 Ir
B  3,N/A,LDN 1470,Drk Neb,PER,--,--,20',03 40.0,+31 59,55.0,31.983333333333334,5 Ir
B  4,N/A,LDN 1470,Drk Neb,PER,--,--,30',03 44.0,+31 48,56.0,31.8,5 Ir
B  5,N/A,LDN 1471,Drk Neb,PER,--,--,60',03 48.0,+32 53,57.0,32.88333333333333,5 E G
B  7,N/A,LDN 1495,Drk Neb,TAU,--,--,600',04 17.5,+28 34,64.375,28.566666666666666,6 Ir
B  8;9;11;13,N/A,LDN 1392,Drk Neb,CAM,--,--,150',04 19.0,+55 03,64.75,55.05,5 Ir
B 12,N/A,LDN 1407,Drk Neb,CAM,--,--,24',04 30.0,+54 17,67.5,54.28333333333333,5 Ir
B 26-8,N/A,LDN 1517,Drk Neb,AUR,--,--,20',04 55.2,+30 35,73.8,30.583333333333332,6 Ir
B 29,N/A,LDN 1523,Drk Neb,AUR,--,--,10',05 06.2,+31 44,76.55,31.733333333333334,6 C
B 30,N/A,LDN 1577,Drk Neb,ORI,--,--,67',05 30.2,+12 46,82.55,12.766666666666667,5 Ir
B 31-2,N/A,LDN 1582;1583,Drk Neb,ORI,--,--,80',05 29.8,+12 46,82.45,12.766666666666667,5 Ir
B 33,N/A,LDN 1630,Drk Neb,ORI,--,--,6',05 40.9,-02 28,85.225,-2.466666666666667,4 Ir
B 34,N/A,N/A,Drk Neb,AUR,--,--,20',05 43.5,+32 39,85.875,32.65,4 C G
B 35,N/A,LDN 1594,Drk Neb,ORI,--,--,20',05 45.5,+09 03,86.375,9.05,5 E
B 36,N/A,LDN 1599,Drk Neb,ORI,--,--,120',05 45.7,+07 31,86.425,7.516666666666667,4 Ir
B 37-9,N/A,LDN 1605;1610,Drk Neb,MON,--,--,180',06 32.8,+10 38,98.2,10.633333333333333,5 Ir
B 40,N/A,LDN 1721,Drk Neb,SCO,--,--,15',16 14.7,-18 58,243.675,-18.966666666666665,3 E
B 41,N/A,LDN 1717,Drk Neb,SCO,--,--,40',16 22.3,-19 38,245.575,-19.633333333333333,3 E
B 42,N/A,LDN 1696,Drk Neb,OPH,--,--,20',16 25.5,-23 26,246.375,-23.433333333333334,6 Ir
B 43,N/A,LDN 1752,Drk Neb,OPH,--,--,120',16 30.3,-19 47,247.575,-19.783333333333335,4 Ir
B 44,N/A,LDN 1712,Drk Neb,OPH,--,--,280',16 40.5,-24 04,250.125,-24.066666666666666,5 Ir
B 44a,N/A,SL 18,Drk Neb,SCO,--,--,5',16 44.8,-40 23,251.2,-40.38333333333333,5 Ir
B 45,N/A,LDN 1744,Drk Neb,OPH,--,--,120',16 46.5,-21 36,251.62499999999997,-21.6,5 Ir
B 46,N/A,LDN 1775,Drk Neb,OPH,--,--,12',16 57.2,-22 44,254.3,-22.733333333333334,6 Ir G
B 47,N/A,LDN 1792,Drk Neb,OPH,--,--,15',16 59.7,-22 39,254.925,-22.65,5 Ir
B 48,N/A,SL 20,Drk Neb,SCO,--,--,40',17 01.0,-40 47,255.25,-40.78333333333333,5 Ir
B 50,N/A,SL 30,Drk Neb,SCO,--,--,15',17 03.0,-34 24,255.75,-34.4,6 Ir
B 51,N/A,LDN 0015,Drk Neb,OPH,--,--,20',17 04.8,-22 16,256.2,-22.266666666666666,6 Ir
B 53,N/A,SL 32,Drk Neb,SCO,--,--,30',17 06.1,-33 15,256.525,-33.25,4 Ir
B 55,N/A,LDN 1682,Drk Neb,SCO,--,--,16',17 07.5,-32 00,256.875,-32.0,5 Ir
B 56,N/A,LDN 1685,Drk Neb,SCO,--,--,3',17 08.7,-32 06,257.175,-32.1,5 IR
B 57,N/A,LDN   11,Drk Neb,OPH,--,--,5',17 08.3,-23 40,257.075,-23.666666666666668,6 E G
B 58,N/A,SL 23,Drk Neb,SCO,--,--,30',17 11.2,-40 25,257.8,-40.416666666666664,6 Ir
B 59,N/A,LDN 1746,Drk Neb,OPH,--,--,60',17 11.4,-27 30,257.85,-27.5,5 Ir
B 60;246,N/A,LDN   17,Drk Neb,OPH,--,--,30',17 11.8,-22 27,257.95,-22.45,3 Ir
B 61,N/A,LDN 0111,Drk Neb,OPH,--,--,10',17 15.2,-20 29,258.8,-20.483333333333334,6 Ir
B 62,N/A,LDN  100,Drk Neb,OPH,--,--,19',17 16.2,-20 53,259.05,-20.883333333333333,6 Ir
B 63,N/A,LDN   99,Drk Neb,OPH,--,--,100',17 16.5,-21 29,259.125,-21.483333333333334,3 Ir G
B 64,N/A,LDN  173,Drk Neb,OPH,--,--,20',17 17.2,-18 29,259.29999999999995,-18.483333333333334,6 Co
B 65-67,N/A,LDN 1772-3;1768,Drk Neb,OPH,--,--,12',17 19.6,-26 42,259.90000000000003,-26.7,6 Ir
B 67a,N/A,LDN  102,Drk Neb,OPH,--,--,13',17 22.5,-21 53,260.625,-21.883333333333333,6 Ir G
B 68,N/A,LDN   57,Drk Neb,OPH,--,--,4',17 22.6,-23 47,260.65,-23.783333333333335,6 K G
B 69,N/A,LDN   55,Drk Neb,OPH,--,--,4',17 22.9,-23 55,260.725,-23.916666666666668,6 Ir
B 70,N/A,LDN   54,Drk Neb,OPH,--,--,4',17 23.5,-24 02,260.875,-24.033333333333335,4 C?
B 72,N/A,LDN   66,Drk Neb,OPH,--,--,4',17 23.5,-23 38,260.875,-23.633333333333333,6 S G
B 74,N/A,LDN 081,Drk Neb,OPH,--,--,15',17 25.2,-24 12,261.3,-24.2,5 Ir
B 75;261-2,N/A,LDN 0112;85;91,Drk Neb,OPH,--,--,110',17 25.3,-22 28,261.325,-22.466666666666665,5 Ir
B 77;269,N/A,LDN   69,Drk Neb,OPH,--,--,100',17 28.0,-23 22,262.0,-23.366666666666667,3 Ir
B 78,N/A,LDN   42,Drk Neb,OPH,--,--,200',17 33.0,-25 36,263.25,-25.6,5 Ir
B 79;276,N/A,LDN 216; 219,Drk Neb,OPH,--,--,50',17 39.5,-19 47,264.875,-19.783333333333335,6 Ir
B 83a,N/A,LDN  233,Drk Neb,SGR,--,--,4',17 45.3,-20 00,266.325,-20.0,6 E? G
B 84,N/A,LDN  235,Drk Neb,SGR,--,--,30',17 46.5,-20 11,266.625,-20.183333333333334,6 Ir
B 84a,N/A,LDN  302,Drk Neb,SGR,--,--,16',17 57.5,-17 40,269.375,-17.666666666666668,5 C
B 85,N/A,N/A,Drk Neb,SGR,--,--,N/A,18 02.6,-23 02,270.65,-23.033333333333335,N/A
B 86,N/A,LDN   93,Drk Neb,SGR,--,--,4',18 02.7,-27 50,270.675,-27.833333333333332,5 Ir G
B 87,N/A,LDN 1771,Drk Neb,SGR,--,--,12',18 04.3,-32 30,271.075,-32.5,4 C G
B 88-9;286,N/A,N/A,Drk Neb,SGR,--,--,2',18 03.8,-24 23,270.95,-24.383333333333333,N/A
B 90,N/A,LDN  227,Drk Neb,SGR,--,--,3',18 10.2,-28 19,272.55,-28.316666666666666,5 Ir G
B 91,N/A,N/A,Drk Neb,SGR,--,--,5',18 10.0,-23 39,272.5,-23.65,5 K
B 92,N/A,LDN  323,Drk Neb,SGR,--,--,15',18 15.5,-18 14,273.875,-18.233333333333334,6 E G
B 93,N/A,LDN  327,Drk Neb,SGR,--,--,12',18 16.9,-18 04,274.225,-18.066666666666666,4 Co G
B 95,N/A,LDN  406,Drk Neb,SCT,--,--,30',18 25.6,-11 45,276.4,-11.75,5 C G
B 97,N/A,LDN  435,Drk Neb,SCT,--,--,50',18 26.4,-10 18,276.6,-10.3,4 Ir
B100-1,N/A,LDN  443,Drk Neb,SCT,--,--,40',18 32.7,-09 08,278.175,-9.133333333333333,5 Ir g
B103,N/A,LDN  497,Drk Neb,SCT,--,--,4',18 39.2,-06 40,279.8,-6.666666666666667,6 Ir
B104,N/A,LDN  532,Drk Neb,SCT,--,--,16',18 47.3,-04 32,281.825,-4.533333333333333,5 Co
B108,N/A,LDN  534,Drk Neb,SCT,--,--,3',18 49.6,-06 19,282.40000000000003,-6.316666666666666,3 Ir
B110,N/A,LDN  530,Drk Neb,SCT,--,--,9',18 50.2,-04 46,282.55,-4.766666666666667,6 Ir G
B111;119a,N/A,LDN  534,Drk Neb,SCT,--,--,120',18 51.0,-05 00,282.75,-5.0,3 Ir
B112,N/A,N/A,Drk Neb,SCT,--,--,20',18 51.2,-06 40,282.79999999999995,-6.666666666666667,4 Ir
B113,N/A,LDN  548,Drk Neb,SCT,--,--,11',18 51.4,-04 19,282.84999999999997,-4.316666666666666,5 Ir G
B114-7,N/A,LDN  514,Drk Neb,SCT,--,--,50',18 53.2,-07 06,283.3,-7.1,6 Ir
B118,N/A,LDN  509,Drk Neb,SCT,--,--,2',18 53.9,-07 27,283.475,-7.45,6 C G
B127;129-30,N/A,LDN  544,Drk Neb,AQL,--,--,20',19 01.6,-05 26,285.40000000000003,-5.433333333333334,5 Ir
B132;328,N/A,LDN  567,Drk Neb,AQL,--,--,16',19 04.1,-04 28,286.025,-4.466666666666667,6 Ir
B133,N/A,LDN  531,Drk Neb,AQL,--,--,10',19 06.1,-06 50,286.525,-6.833333333333333,6 Co G
B134,N/A,LDN  543,Drk Neb,AQL,--,--,6',19 06.9,-06 14,286.72499999999997,-6.233333333333333,6 C G
B135-6,N/A,LDN  581,Drk Neb,AQL,--,--,50',19 07.4,-03 55,286.85,-3.9166666666666665,6 Ir
B137-8,N/A,LDN  618;627,Drk Neb,AQL,--,--,180',19 15.6,+00 13,288.90000000000003,0.21666666666666667,3 Ir
B139,N/A,LDN  619,Drk Neb,AQL,--,--,10',19 18.1,-01 28,289.525,-1.4666666666666668,5 E G
B142-3,N/A,LDN 688;694,Drk Neb,AQL,--,--,80',19 40.7,+10 57,295.175,10.95,6 Ir
B144,N/A,LDN  857,Drk Neb,CYG,--,--,30',19 59.0,+35 00,299.75,35.0,1 Ir
B145,N/A,LDN  865,Drk Neb,CYG,--,--,35',20 02.8,+37 40,300.7,37.666666666666664,4 G
B146,N/A,LDN  860,Drk Neb,CYG,--,--,1',20 03.5,+36 02,300.875,36.03333333333333,6 Ir
B148-9,N/A,LDN 1076,Drk Neb,CEP,--,--,3',20 49.1,+59 32,312.27500000000003,59.53333333333333,5 C
B150,N/A,LDN 1082,Drk Neb,CEP,--,--,60',20 50.6,+60 18,312.65,60.3,5 Ir
B152,N/A,N/A,Drk Neb,CEP,--,--,15',21 14.5,+61 45,318.625,61.75,5 Ir
B157,N/A,LDN 1075,Drk Neb,CYG,--,--,4',21 33.7,+54 40,323.425,54.666666666666664,4 C G
B160,N/A,LDN 1088,Drk Neb,CEP,--,--,30',21 38.0,+56 14,324.5,56.233333333333334,4 Ir
B161,N/A,LDN 1103,Drk Neb,CEP,--,--,13',21 40.3,+57 49,325.075,57.81666666666667,6 Co G
B162,N/A,LDN 1095,Drk Neb,CEP,--,--,13',21 41.1,+56 19,325.275,56.31666666666667,4 Ir
B163,N/A,LDN 1106,Drk Neb,CEP,--,--,4',21 42.2,+56 42,325.55,56.7,4 Ir G
B164,N/A,LDN 1070,Drk Neb,CYG,--,--,12',21 46.5,+51 04,326.625,51.06666666666667,5 K G
B168,N/A,LDN 1055,Drk Neb,CYG,--,--,100',21 53.2,+47 12,328.3,47.2,5 Ir
B169-71,N/A,LDN 1151;1149;1153,Drk Neb,CEP,--,--,80',21 58.9,+58 45,329.72499999999997,58.75,5 Ir
B173-4,N/A,LDN 1166;1164,Drk Neb,CEP,--,--,40',22 07.4,+59 10,331.85,59.166666666666664,6 Ir
B202,N/A,LDN 1451,Drk Neb,ARI,--,--,33',03 25.6,+30 17,51.4,30.283333333333335,4 Ir
