designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
Be  84,N/A,N/A,Drk Neb,TAU,--,--,20',04 22.1,+19 30,65.52499999999999,19.5,4 Ir
Be 135,N/A,N/A,Drk Neb,PUP,--,--,13',07 19.0,-44 35,109.75,-44.583333333333336,6 E
Be 146,N/A,N/A,Drk Neb,CEN,--,--,20',13 57.6,-40 00,209.4,-40.0,5 Ir
Be 149,N/A,N/A,Drk Neb,SCO,--,--,60',16 09.4,-39 08,242.35,-39.13333333333333,6 Ir
Be 157,N/A,N/A,Drk Neb,CRA,--,--,110',19 02.9,-37 08,285.72499999999997,-37.13333333333333,6 Ir
Berk   1,N/A,N/A,Opn CL,CAS,-,-,5',00 09.7,+60 29,2.425,60.483333333333334,III 1p :b
Berk   2,N/A,N/A,Opn CL,CAS,-,-,4',00 25.2,+60 24,6.3,60.4,I 1m:b
Berk   4,N/A,N/A,Opn CL,CAS,10.6,-,5',00 45.2,+64 24,11.3,64.4,I 2 p
Berk   5,N/A,N/A,Opn CL,CAS,-,-,3',01 47.7,+62 56,26.924999999999997,62.93333333333333,IV 1p :b
Berk   6,N/A,N/A,Opn CL,CAS,-,-,5',01 51.2,+61 04,27.800000000000004,61.06666666666667,II 2p :b
Berk   7,N/A,N/A,Opn CL,CAS,-,-,4',01 55.0,+62 22,28.749999999999996,62.36666666666667,II 2p :b
Berk   8,N/A,N/A,Opn CL,CAS,-,-,7',02 02.0,+75 30,30.5,75.5,II 2m :b
Berk   9,N/A,N/A,Opn CL,PER,-,-,5',03 32.7,+52 39,53.175,52.65,II 1p :b
Berk  10,N/A,N/A,Opn CL,CAM,12,-,12',03 39.6,+66 31,54.900000000000006,66.51666666666667,II 3 p
Berk  11,N/A,N/A,Opn CL,PER,10.4,-,6',04 20.5,+44 55,65.125,44.916666666666664,II 3 m
Berk  12,N/A,N/A,Opn CL,PER,-,-,6',04 44.4,+42 41,71.10000000000001,42.68333333333333,II 1m:b
