designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
G000.0+00.0,N/A,N/A,SN Rem,N/A,N/A,N/A,N/A,17 45.6,-28 56.2,266.405,-28.93616666666667,N/A
G000.1-00.1,the thread,N/A,SN Rem,N/A,N/A,N/A,0.8',17 46.4,-28 52.9,266.59,-28.882416666666668,N/A
G000.9+00.1,G0.9+0.1,N/A,SN Rem,N/A,N/A,N/A,1.1',17 47.4,-28 09.3,266.8445833333334,-28.15544444444444,N/A
G001.9+00.3,G1.9+0.3,N/A,SN Rem,N/A,N/A,N/A,2.0',17 48.8,-27 10.1,267.18916666666667,-27.16838888888889,N/A
G004.5+06.8,Kepler SNR,N/A,SN Rem,N/A,N/A,N/A,4.5',17 30.7,-21 29.5,262.6716666666666,-21.49227777777778,N/A
G005.4+01.2,PSR B1757-24,N/A,SN Rem,N/A,N/A,N/A,0.3',18 01.0,-24 51.5,270.25083333333333,-24.85752777777778,N/A
G006.4-00.1,W28,N/A,SN Rem,N/A,N/A,N/A,45.0',18 00.5,-23 26.0,270.125,-23.433333333333334,N/A
G006.4+04.9,PSR J1741-2054,N/A,SN Rem,N/A,N/A,N/A,point source,17 42.0,-20 54.2,265.48875,-20.903499999999998,N/A
G007.5-01.7,Taz,N/A,SN Rem,N/A,N/A,N/A,8.0',18 09.6,-23 29.4,272.40416666666664,-23.49077777777778,N/A
G008.3+00.1,PSR B1800-21,N/A,SN Rem,N/A,N/A,N/A,0.1',18 03.9,-21 37.1,270.9641666666667,-21.61872222222222,N/A
G010.0-00.3,SGR 1806-20,N/A,SN Rem,N/A,N/A,N/A,point source,18 08.7,-20 24.7,272.16375,-20.411027777777775,N/A
G010.9-45.4,PSR J2124-3358,N/A,SN Rem,N/A,N/A,N/A,1.3',21 24.7,-33 58.8,321.18249999999995,-33.97916666666667,N/A
G011.0+00.0,PSR J1809-1917,N/A,SN Rem,N/A,N/A,N/A,0.2',18 09.7,-19 17.6,272.4295833333333,-19.293944444444445,N/A
