designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
Cr  21,N/A,N/A,Opn CL,TRI,8.2,-,6',01 50.1,+27 05,27.525,27.083333333333332,III 3 p
Cr  33,N/A,N/A,Opn CL,CAS,5.9,-,40.0',02 59.3,+60 24,44.825,60.4,N/A
Cr  34,N/A,N/A,Opn CL,CAS,6.8,-,25',02 59.4,+60 34,44.85,60.56666666666667,I 3 p
Cr  62,N/A,N/A,Opn CL,AUR,4.2,-,28',05 22.5,+41 00,80.625,41.0,IV 3 p
Cr  65,N/A,N/A,Opn CL,ORI,3,-,220',05 26.1,+16 42,81.52499999999999,16.7,II 3 p
Cr  69,N/A,N/A,Opn CL,ORI,2.8,-,65',05 35.1,+09 56,83.775,9.933333333333334,II 3 p n
Cr  70,N/A,N/A,Opn CL,ORI,0.4,-,150',05 36.0,-01 00,84.0,-1.0,II 3 m n
Cr  89,N/A,N/A,Opn CL,GEM,5.7,-,35',06 18.0,+23 38,94.5,23.633333333333333,IV 2 p n
Cr  91,N/A,N/A,Opn CL,MON,6.4,-,17',06 21.5,+02 20,95.375,2.3333333333333335,IV 2 p
Cr  92,N/A,N/A,Opn CL,MON,8.5,-,11',06 22.9,+05 07,95.72500000000001,5.116666666666666,N/A
Cr  95,N/A,N/A,Opn CL,MON,-,-,19',06 30.8,+09 56,97.7,9.933333333333334,IV 2 p n
Cr  96,N/A,N/A,Opn CL,MON,7.3,-,8',06 30.3,+02 52,97.575,2.8666666666666667,IV 2 p
Cr  97,N/A,N/A,Opn CL,MON,5.4,-,21',06 31.0,+05 50,97.75,5.833333333333333,IV 3 p
Cr 104,N/A,N/A,Opn CL,MON,9.6,-,22',06 36.5,+04 49,99.125,4.816666666666666,IV 1 p n
Cr 106,N/A,N/A,Opn CL,MON,4.6,-,45',06 37.1,+05 57,99.27499999999999,5.95,III 3 p
Cr 107,N/A,N/A,Opn CL,MON,5.1,-,35',06 37.7,+04 44,99.42500000000001,4.733333333333333,IV 3 p
Cr 110,N/A,N/A,Opn CL,MON,10.5,-,12.0',06 38.7,+02 03,99.675,2.05,IV 1 r
Cr 111,N/A,N/A,Opn CL,MON,7,-,3.2',06 38.7,+06 54,99.675,6.9,N/A
Cr 115,N/A,N/A,Opn CL,MON,9.1,-,7',06 46.5,+01 47,101.625,1.7833333333333332,III 2 p
Cr 121,N/A,N/A,Opn CL,CMA,2.6,-,50',06 56.3,-24 44,104.075,-24.733333333333334,III 3 p
Cr 132,N/A,N/A,Opn CL,CMA,3.6,-,80',07 15.4,-30 41,108.85000000000001,-30.683333333333334,III 3 p
Cr 135,N/A,N/A,Opn CL,PUP,2.1,-,50',07 17.4,-36 50,109.35,-36.833333333333336,IV 2 p
Cr 140,N/A,N/A,Opn CL,CMA,3.5,-,60',07 24.5,-31 51,111.125,-31.85,III 3 p
Cr 173,N/A,N/A,Opn CL,PUP,0.6,-,370',08 03.6,-46 16,120.9,-46.266666666666666,IV 2 p
Cr 185,N/A,N/A,Opn CL,PUP,7.8,-,9',08 23.3,-36 20,125.825,-36.333333333333336,III 2 p
Cr 187,N/A,N/A,Opn CL,PUP,9.6,-,7',08 24.2,-29 10,126.04999999999998,-29.166666666666668,III 1 p
Cr 196,N/A,N/A,Opn CL,PYX,10.5,-,5',08 45.1,-31 38,131.275,-31.633333333333333,IV 3 p
Cr 197,N/A,N/A,Opn CL,VEL,6.7,-,17',08 44.7,-41 17,131.17499999999998,-41.28333333333333,IV 2 p n
Cr 205,N/A,N/A,Opn CL,VEL,7.8,-,2',09 00.6,-48 59,135.15,-48.983333333333334,I 3 m
Cr 213,N/A,N/A,Opn CL,VEL,9.2,-,17',09 55.0,-50 57,148.75,-50.95,IV 2 p
Cr 232,N/A,N/A,Opn CL,CAR,6.8,-,4',10 44.6,-59 34,161.15,-59.56666666666667,N/A
Cr 234,N/A,N/A,Opn CL,CAR,7.5,-,4',10 45.3,-59 45,161.32500000000002,-59.75,N/A
Cr 285,N/A,N/A,Opn CL,UMA,0.4,-,1400',12 03.0,+58 00,180.75,58.0,N/A
Cr 292,N/A,N/A,Opn CL,NOR,7.9,-,16',15 50.7,-57 40,237.675,-57.666666666666664,III 2 m
Cr 299,N/A,Harvard 10,Opn CL,NOR,6.9,-,25',16 19.9,-54 58,244.975,-54.96666666666667,III 3 m
Cr 302,N/A,N/A,Opn CL,SCO,1,-,500',16 26.0,-26 13,246.5,-26.216666666666665,III 3 p
Cr 307,N/A,N/A,Opn CL,ARA,9.2,-,6',16 35.3,-50 58,248.82500000000002,-50.96666666666667,III 2 p
Cr 316,N/A,N/A,Opn CL,SCO,3.4,-,105',16 55.5,-40 50,253.875,-40.833333333333336,I 2 m
Cr 332,N/A,N/A,Opn CL,SCO,8.9,-,2',17 30.8,-37 05,262.7,-37.083333333333336,IV 1 p
Cr 333,N/A,N/A,Opn CL,SCO,9.8,-,8',17 31.3,-34 05,262.82500000000005,-34.083333333333336,III 2 p
Cr 338,N/A,N/A,Opn CL,SCO,8,-,25.0',17 38.2,-37 34,264.55,-37.56666666666667,III 2 p
Cr 345,N/A,N/A,Opn CL,SCO,10.9,-,6',17 44.6,-33 52,266.15,-33.86666666666667,N/A
Cr 347,N/A,N/A,Opn CL,SGR,8.8,-,10',17 46.3,-29 20,266.57500000000005,-29.333333333333332,III 2 p n
Cr 350,N/A,N/A,Opn CL,OPH,6.1,-,45',17 48.1,+01 18,267.025,1.3,IV 2 p
Cr 351,N/A,N/A,Opn CL,SGR,9.3,-,9',17 49.9,-28 46,267.475,-28.766666666666666,IV 2 p
Cr 367,N/A,N/A,Opn CL,SGR,6.4,-,37',18 09.8,-23 50,272.45,-23.833333333333332,IV 3 p n
Cr 394,N/A,N/A,Opn CL,SGR,6.3,-,22',18 52.3,-20 12,283.075,-20.2,IV 2 m
Cr 399,N/A,N/A,Opn CL,VUL,3.6,-,60',19 26.2,+20 06,291.55,20.1,III 3 m
Cr 401,N/A,N/A,Opn CL,AQL,7,-,1',19 38.4,+00 21,294.6,0.35,IV 2 m
Cr 419,N/A,N/A,Opn CL,CYG,5.4,-,4.5',20 18.1,+40 44,304.525,40.733333333333334,IV 2 p
Cr 421,N/A,N/A,Opn CL,CYG,10.1,-,6',20 23.3,+41 42,305.825,41.7,III 1 p n
Cr 427,N/A,N/A,Opn CL,CEP,13.8,-,4',21 00.6,+68 10,315.15000000000003,68.16666666666667,IV 1pn:b
Cr 428,N/A,N/A,Opn CL,CYG,8.7,-,14',21 03.2,+44 35,315.8,44.583333333333336,III 2 p n
Cr 463,N/A,N/A,Opn CL,CAS,5.7,-,36',01 45.7,+71 49,26.425,71.81666666666666,III 2 p
Cr 464,N/A,N/A,Opn CL,CAM,4.2,-,120',05 12.6,+73 58,78.15,73.96666666666667,IV 3 p
Cr 465,N/A,N/A,Opn CL,MON,10.1,-,9',07 07.0,-10 32,106.75,-10.533333333333333,IV 2 p
Cr 466,N/A,N/A,Opn CL,MON,11.1,-,4',07 07.0,-10 43,106.75,-10.716666666666667,III 2 p n
Cr 468,N/A,N/A,Opn CL,SGR,13.4,-,1.5',18 06.6,-27 28,271.65,-27.466666666666665,IV 1p :b
Cr 469,N/A,N/A,Opn CL,SGR,9.1,-,5',18 16.5,-18 19,274.125,-18.316666666666666,IV 1 p
Cr 471,N/A,N/A,Opn CL,CEP,-,-,130',22 07.1,+72 00,331.775,72.0,III 2 p
