designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
IC    10,N/A,UGC   192,Galaxy,CAS,13.3,14,6.4',00 20.4,+59 18,5.1,59.3,Ir+
IC    59,N/A,LBN  620,Brt Neb,CAS,-,-,10',00 57.5,+61 09,14.375,61.15,E
IC    63,N/A,LBN  623,Brt Neb,CAS,-,-,10',00 59.5,+60 55,14.875,60.916666666666664,E
IC    65,N/A,UGC   625,Galaxy,AND,12.8,14.3,3.9',01 00.9,+47 41,15.224999999999998,47.68333333333333,SBbc
IC   156,N/A,UGC  1231,Galaxy,PSC,13.5,13.9,1.5',01 45.5,+10 33,26.375,10.55,S pec
IC   163,N/A,UGC  1276,Galaxy,ARI,13.1,13.4,1.8',01 49.3,+20 43,27.325000000000003,20.716666666666665,SBd
IC   166,N/A,OCL  334,Opn CL,CAS,11.7,-,7',01 52.5,+61 51,28.125,61.85,III 1 r
IC   239,N/A,UGC  2080,Galaxy,AND,11.1,14.2,4.6',02 36.5,+38 58,39.125,38.96666666666667,SBa
IC   289,N/A,PK 138+2.1,Pln Neb,CAS,12,12.3,45'',03 10.3,+61 19,47.575,61.31666666666667,4(2)
IC   334,N/A,UGC  2824,Galaxy,CAM,12.3,12.9,3.7',03 45.3,+76 38,56.324999999999996,76.63333333333334,Pec
IC   342,N/A,UGC  2847,Galaxy,CAM,12,14.9,20.9',03 46.8,+68 06,56.699999999999996,68.1,SBc
IC   348,N/A,IC 1985,CL+Neb,PER,7.3,-,10',03 44.6,+32 10,56.15,32.166666666666664,IV 2 p n
IC   349,Merope Nebula Part,vdB 22,Brt Neb,TAU,-,-,30',03 46.3,+23 56,56.574999999999996,23.933333333333334,R
IC   351,N/A,PK 159-15.1,Pln Neb,PER,11.9,7.3,8'',03 47.6,+35 03,56.9,35.05,2a
IC   353,N/A,LBN  774,Brt Neb,TAU,-,-,180',03 53.0,+25 30,58.25,25.5,E
IC   356,N/A,UGC  2953,Galaxy,CAM,10.5,13.6,4.5',04 07.8,+69 49,61.949999999999996,69.81666666666666,Sbp
IC   360,N/A,LBN  786,Brt Neb,TAU,-,-,180',04 09.0,+26 08,62.25000000000001,26.133333333333333,E
IC   361,N/A,OCL  393,Opn CL,CAM,11.7,13.9,6',04 18.8,+58 15,64.7,58.25,II 1 r
IC   405,Flaming Star Nebula,LBN  795,Brt Neb,AUR,10,-,50',05 16.5,+34 21,79.125,34.35,E
IC   410,N/A,NGC 1893,Brt Neb,AUR,7.5,-,11',05 22.7,+33 25,80.675,33.416666666666664,E
IC   417,N/A,LBN  804,Brt Neb,AUR,-,-,13',05 28.1,+34 25,82.025,34.416666666666664,E+*
IC   418,Spirograph Nebula,PK 215-24.1,Pln Neb,LEP,10.7,5.8,14'',05 27.5,-12 42,81.875,-12.7,4
IC   423,N/A,LBN  913,Brt Neb,ORI,-,-,2',05 33.4,-00 37,83.35,-0.6166666666666667,E
IC   426,N/A,LBN  921,Brt Neb,ORI,-,-,10',05 36.5,-00 18,84.125,-0.3,E
IC   430,N/A,CED  55K,Brt Neb,ORI,-,-,11',05 38.5,-07 05,84.625,-7.083333333333333,E
IC   431,N/A,LBN  944,Brt Neb,ORI,-,-,8',05 40.2,-01 28,85.05,-1.4666666666666668,E
IC   432,N/A,LBN  946,Brt Neb,ORI,-,-,10',05 40.9,-01 30,85.225,-1.5,E
IC   434,N/A,LBN  954,Brt Neb,ORI,11,-,90',05 41.0,-02 27,85.25,-2.45,E
IC   435,N/A,CED  55Q,Brt Neb,ORI,-,-,5',05 43.0,-02 19,85.75,-2.3166666666666664,R
IC   443,N/A,LBN  844,SN Rem,GEM,12,-,50',06 17.8,+22 49,94.45,22.816666666666666,N/A
IC   444,N/A,LBN  840,Brt Neb,GEM,-,-,8',06 19.4,+23 17,94.85,23.283333333333335,E
IC   446,N/A,IC 2167,Brt Neb,MON,-,-,25',06 31.1,+10 27,97.775,10.45,R+*
IC   448,N/A,LBN  930,Brt Neb,MON,-,-,15',06 32.8,+07 23,98.2,7.383333333333334,R
IC   466,N/A,CED  92,Brt Neb,MON,-,-,1',07 08.6,-04 19,107.15,-4.316666666666666,E
IC   691,N/A,UGC  6447,Galaxy,UMA,13.9,12.4,0.6',11 26.7,+59 09,171.675,59.15,Pec
IC   719,N/A,UGC  6633,Galaxy,VIR,13.1,12.2,1.3',11 40.3,+09 01,175.075,9.016666666666667,SO
IC   719,N/A,UGC  6633,Galaxy,VIR,13.1,12.2,1.3',11 40.3,+09 01,175.075,9.016666666666667,SO
IC   749,N/A,UGC  6962,Galaxy,UMA,12.4,13.8,2.3',11 58.6,+42 44,179.65,42.733333333333334,SBc Ring
IC   749,N/A,UGC  6962,Galaxy,UMA,12.4,13.8,2.3',11 58.6,+42 44,179.65,42.733333333333334,SBc Ring
IC   750,N/A,UGC  6973,Galaxy,UMA,11.9,13,2.6',11 58.9,+42 43,179.72500000000002,42.71666666666667,Sab
IC   750,N/A,UGC  6973,Galaxy,UMA,11.9,13,2.6',11 58.9,+42 43,179.72500000000002,42.71666666666667,Sab
IC   758,N/A,UGC  7056,Galaxy,UMA,13.3,14.6,1.9',12 04.2,+62 30,181.05,62.5,SBc
IC   764,N/A,UA 273,Galaxy,HYA,12.2,14.1,4.8',12 10.2,-29 44,182.55,-29.733333333333334,SBc
IC   769,N/A,UGC  7209,Galaxy,VIR,12.6,14.1,2.5',12 12.5,+12 07,183.125,12.116666666666667,SBbc Ring
IC   775,N/A,UGC  7350,Galaxy,VIR,13.3,13.2,1.2',12 18.9,+12 55,184.725,12.916666666666666,SB0 pec
IC   776,N/A,UGC  7352,Galaxy,VIR,13.8,14.4,1.8',12 19.0,+08 51,184.75,8.85,SBd
IC   783,N/A,UGC  7415,Galaxy,COM,13.6,13.9,1.3',12 21.6,+15 45,185.39999999999998,15.75,SBO-a
IC   875,N/A,UGC  8355,Galaxy,UMA,12.8,13,1.2',13 17.1,+57 32,199.275,57.53333333333333,SO
IC  1014,N/A,UGC  9275,Galaxy,BOO,12.5,14.2,2.7',14 28.3,+13 47,217.07500000000002,13.783333333333333,SBd
IC  1048,N/A,UGC  9483,Galaxy,VIR,12.6,13,2.2',14 43.0,+04 53,220.75,4.883333333333333,S pec
IC  1065,N/A,UGC  9553,Galaxy,DRA,13.6,13.2,1',14 49.4,+63 16,222.35000000000002,63.266666666666666,SBO
IC  1158,N/A,UGC 10133,Galaxy,SER,12.6,14,2.5',16 01.6,+01 42,240.4,1.7,SBc
IC  1257,N/A,OCL   51,Glob CL,OPH,12.5,-,1',17 27.1,-07 06,261.77500000000003,-7.1,V
IC  1266,N/A,PK 345-8.1,Pln Neb,ARA,12.3,-,13'',17 45.6,-46 05,266.40000000000003,-46.083333333333336,4
IC  1274,N/A,IC 1275,Brt Neb,SGR,-,-,20',18 10.1,-23 42,272.525,-23.7,E+*
IC  1275,N/A,IC 1274,Brt Neb,SGR,-,-,20',18 10.1,-23 42,272.525,-23.7,E+*
IC  1276,N/A,Pal  7,Glob CL,SER,10.3,-,7.1',18 10.8,-07 13,272.7,-7.216666666666667,XII
IC  1284,N/A,Gum 78;RCW 153,Brt Neb,SGR,-,-,17',18 17.7,-19 40,274.425,-19.666666666666668,E+*
IC  1287,N/A,LBN   76,Brt Neb,SCT,-,-,20',18 31.6,-10 50,277.90000000000003,-10.833333333333334,E
IC  1291,N/A,UGC 11283,Galaxy,DRA,13,13.9,1.8',18 33.9,+49 17,278.475,49.28333333333333,SBdm pec
IC  1295,N/A,PK 25-4.2,Pln Neb,SCT,12.7,13.4,102'',18 54.6,-08 50,283.65,-8.833333333333334,3b(2)
IC  1297,N/A,PK 358-21.1,Pln Neb,CRA,11.5,5.9,8'',19 17.4,-39 37,289.34999999999997,-39.61666666666667,N/A
IC  1310,N/A,Berk  50,CL+Neb,CYG,-,-,15',20 10.1,+34 58,302.525,34.96666666666667,II 1 p n
IC  1311,N/A,OCL  173,CL+Neb,CYG,13.1,-,5',20 10.3,+41 13,302.575,41.21666666666667,II 3 r n
IC  1340,N/A,N/A,SN Rem,CYG,-,-,25',20 56.2,+31 04,314.05,31.066666666666666,E
IC  1369,N/A,Cr 432,Opn CL,CYG,8.8,-,4',21 12.1,+47 44,318.02500000000003,47.733333333333334,I 1 m
IC  1396,N/A,OCL  222,CL+Neb,CEP,3.5,-,89',21 39.1,+57 30,324.77500000000003,57.5,II 3 m n
IC  1434,N/A,Cr 445,Opn CL,LAC,9,-,8',22 10.5,+52 50,332.625,52.833333333333336,II 1 p?
IC  1442,N/A,OCL  224,Opn CL,LAC,9.1,-,5',22 16.5,+54 03,334.125,54.05,II 2 m
IC  1459,N/A,IC 5265,Galaxy,GRU,10,13.2,5.1',22 57.2,-36 28,344.3,-36.46666666666667,E3
IC  1470,N/A,CED  208,Brt Neb,CEP,-,-,15',23 05.2,+60 15,346.3,60.25,E
IC  1558,N/A,MCG -04-03-024,Galaxy,SCL,12.2,14.4,3.3',00 35.8,-25 23,8.95,-25.383333333333333,SB
IC  1613,N/A,UGC   668,Galaxy,CET,9.2,15,16.6',01 04.9,+02 08,16.225,2.1333333333333333,Ir
IC  1727,N/A,UGC  1249,Galaxy,TRI,11.5,14.7,7.1',01 47.5,+27 20,26.874999999999996,27.333333333333332,SBm
IC  1747,N/A,PK 130+1.1,Pln Neb,CAS,12,8.7,13'',01 57.6,+63 19,29.4,63.31666666666667,3b
IC  1795,N/A,LBN  645,Brt Neb,CAS,-,-,12',02 25.8,+61 59,36.45,61.983333333333334,E
IC  1805,Heart Nebula,Mel 15,CL+Neb,CAS,6.5,-,60',02 32.7,+61 27,38.175,61.45,III 3 p n
IC  1848,Soul Nebula,OCL  364,CL+Neb,CAS,6.5,-,40',02 51.4,+60 25,42.849999999999994,60.416666666666664,IV 3 p n
IC  1871,N/A,LBN 675,Brt Neb,CAS,-,-,4.0',03 03.2,+60 28,45.8,60.46666666666667,E
IC  1933,N/A,ESO 155-25,Galaxy,HOR,12.5,13.4,2.2',03 25.7,-52 47,51.425,-52.78333333333333,SBc
IC  1954,N/A,ESO 200-36,Galaxy,HOR,11.6,13.2,3',03 31.5,-51 54,52.875,-51.9,SBb
IC  1995,N/A,LBN  774,Brt Neb,TAU,-,-,2',03 50.3,+25 35,57.575,25.583333333333332,E
IC  2000,N/A,ESO 201-G003,Galaxy,HOR,11.9,13,4.1',03 49.1,-48 52,57.275,-48.86666666666667,SBc
IC  2003,N/A,PK 161-14.1,Pln Neb,PER,12.6,7.4,10.8'',03 56.4,+33 53,59.1,33.88333333333333,2
IC  2035,N/A,ESO 250- 7,Galaxy,HOR,11.8,11.7,1.2',04 09.0,-45 31,62.25000000000001,-45.516666666666666,SBO
IC  2087,N/A,LBN  813,Brt Neb,TAU,-,-,4',04 40.0,+25 45,70.0,25.75,E
IC  2149,N/A,PK 166+10.1,Pln Neb,AUR,10.6,-,12'',05 56.4,+46 06,89.1,46.1,3b(2)
IC  2157,N/A,Cr  80,Opn CL,GEM,8.4,-,7',06 04.8,+24 04,91.2,24.066666666666666,III 2 p
IC  2158,N/A,ESO 425- 7,Galaxy,COL,12,12.7,1.7',06 05.3,-27 51,91.32499999999999,-27.85,SBab
IC  2162,N/A,Sh2-256,Brt Neb,ORI,-,-,4',06 12.9,+17 59,93.225,17.983333333333334,E
IC  2165,N/A,PK 221-12.1,Pln Neb,CMA,10.6,6.5,9'',06 21.7,-12 59,95.425,-12.983333333333333,3b
IC  2166,N/A,UGC  3463,Galaxy,LYN,12.4,14.3,3',06 26.9,+59 05,96.725,59.083333333333336,SBbc
IC  2169,N/A,IC  447,Brt Neb,MON,-,-,25',06 31.0,+09 54,97.75,9.9,R
IC  2177,Eagle Nebula,Gum 2;Sh2-296;RCW1,Brt Neb,MON,-,-,20',07 05.1,-10 42,106.275,-10.7,E
IC  2179,N/A,UGC  3750,Galaxy,CAM,12.4,12.6,1.7',07 15.5,+64 56,108.875,64.93333333333334,E1
IC  2233,N/A,UGC  4278,Galaxy,LYN,12.6,13.3,4.6',08 14.0,+45 44,123.49999999999999,45.733333333333334,SBcd
IC  2391,Omicron Velorum Cluster,Cr 191,Opn CL,VEL,2.5,-,60',08 39.6,-52 55,129.9,-52.916666666666664,II 3 p
IC  2395,N/A,Cr 192,Opn CL,VEL,4.6,-,17',08 42.5,-48 08,130.625,-48.13333333333333,II 3 p
IC  2488,N/A,Cr 208,Opn CL,VEL,7.4,-,15',09 27.4,-56 57,141.85,-56.95,II 2 m
IC  2511,N/A,IC 2512,Galaxy,ANT,12.1,12.5,2.9',09 49.4,-32 50,147.35000000000002,-32.833333333333336,SBab
IC  2522,N/A,ESO 374-10,Galaxy,ANT,11.9,13.6,2.8',09 55.1,-33 08,148.775,-33.13333333333333,SBc
IC  2537,N/A,ESO 499-39,Galaxy,ANT,12.1,13.6,2.5',10 03.9,-27 34,150.975,-27.566666666666666,SBc
IC  2574,Coddington's Nebula,UGC  5666,Galaxy,UMA,10.8,15.5,10.8',10 28.4,+68 25,157.1,68.41666666666667,SAB
IC  2581,N/A,Cr 222,Opn CL,CAR,4.3,-,8',10 27.4,-57 38,156.85,-57.63333333333333,I 3 m n
IC  2627,N/A,ESO 502-21,Galaxy,CRT,12,13.9,2.6',11 09.9,-23 44,167.475,-23.733333333333334,SBbc
IC  2995,N/A,ESO 440-50,Galaxy,HYA,12.2,13.3,3',12 05.8,-27 57,181.45,-27.95,SBc
IC  3061,N/A,UGC  7255,Galaxy,COM,13.6,13.4,2.2',12 15.1,+14 02,183.775,14.033333333333333,SBc
IC  3115,N/A,UGC  7333,Galaxy,VIR,13.1,13.9,1.7',12 18.0,+06 39,184.5,6.65,SBc
IC  3253,N/A,ESO 380-24,Galaxy,CEN,11.9,13,2.7',12 23.8,-34 37,185.95,-34.61666666666667,Sc
IC  3259,N/A,UGC  7469,Galaxy,VIR,13.5,13.8,1.7',12 23.8,+07 11,185.95,7.183333333333334,SBd
IC  3267,N/A,UGC  7474,Galaxy,VIR,13.4,13.7,1.2',12 24.1,+07 02,186.025,7.033333333333333,Sc
IC  3268,N/A,UGC  7477,Galaxy,VIR,13.3,12.8,0.9',12 24.1,+06 36,186.025,6.6,Sc
IC  3322,N/A,UGC  7513,Galaxy,VIR,12.9,13.2,2.3',12 25.9,+07 33,186.475,7.55,SBc
IC  3365,N/A,UGC  7563,Galaxy,COM,13.9,14.5,2.1',12 27.2,+15 54,186.8,15.9,Ir+
IC  3475,N/A,UGC  7692,Galaxy,VIR,13.1,14.2,1.7',12 32.7,+12 46,188.175,12.766666666666667,Elliptical
IC  3476,N/A,UGC  7695,Galaxy,COM,12.7,14,2.2',12 32.7,+14 03,188.175,14.05,Ir+
IC  3499,N/A,UGC  7712,Galaxy,VIR,13.3,12.7,1.4',12 33.8,+11 00,188.45,11.0,Sa
IC  3568,N/A,PK 123+34.1,Pln Neb,CAM,11.6,6.7,18'',12 33.1,+82 34,188.27499999999998,82.56666666666666,2(2a)
IC  3576,N/A,UGC  7781,Galaxy,VIR,13.5,15,2.3',12 36.6,+06 37,189.14999999999998,6.616666666666667,S
IC  3583,N/A,UGC  7784,Galaxy,VIR,12.8,13.6,2.2',12 36.7,+13 16,189.17499999999998,13.266666666666667,Ir+
IC  3687,N/A,UGC  7866,Galaxy,CVN,13.4,15.8,3.4',12 42.3,+38 30,190.575,38.5,Ir+
IC  3881,N/A,UGC  8036,Galaxy,COM,13,14.1,0.2',12 54.9,+19 07,193.725,19.116666666666667,SBc
IC  4051,N/A,UGC  8129,Galaxy,COM,13.2,13,1',13 00.9,+28 00,195.22500000000002,28.0,E0
IC  4182,N/A,UGC  8188,Galaxy,CVN,12.5,16.1,6',13 05.8,+37 36,196.45,37.6,Sm
IC  4213,N/A,UGC  8280,Galaxy,CVN,13.3,13.3,2.5',13 12.2,+35 40,198.05,35.666666666666664,Sc
IC  4351,N/A,ESO 445-84,Galaxy,HYA,11.7,13.4,5.9',13 57.9,-29 19,209.475,-29.316666666666666,Sb
IC  4406,Retina Nebula,PK 319+15.1,Pln Neb,LUP,11,9.1,46'',14 22.4,-44 09,215.6,-44.15,4(3)
IC  4444,N/A,IC 4441,Galaxy,LUP,11.4,12.2,1.7',14 31.6,-43 25,217.9,-43.416666666666664,SBbc
IC  4562,N/A,UGC  9928,Galaxy,BOO,12.6,13,1.2',15 36.0,+43 30,234.0,43.5,Elliptical
IC  4592,N/A,LBN 1113,Brt Neb,SCO,-,-,60',16 12.0,-19 28,243.0,-19.466666666666665,E+*
IC  4593,White Eyed Pea Nebula,PK 25+40.1,Pln Neb,HER,11,7.4,12.5'',16 11.7,+12 04,242.925,12.066666666666666,2(2)
IC  4599,N/A,PK 321+5.1,Pln Neb,SCO,12.3,-,16'',16 19.4,-42 16,244.85000000000002,-42.266666666666666,N/A
IC  4601,N/A,ESO 585-*N1,Brt Neb,SCO,-,-,20',16 20.3,-20 05,245.07500000000002,-20.083333333333332,E+*
IC  4603,Rho Ophiuchi Complex,LBN 1109,Brt Neb,OPH,-,-,20',16 25.4,-24 28,246.34999999999997,-24.466666666666665,E+*
IC  4604,Rho Ophiuchi Nebula,LBN 1112,Brt Neb,OPH,-,-,60',16 25.6,-23 27,246.39999999999998,-23.45,E+*
IC  4605,N/A,LBN 1110,Brt Neb,SCO,-,-,30',16 30.2,-25 07,247.55,-25.116666666666667,E+*
IC  4628,False Comet,ESO 332-EN14,Brt Neb,SCO,-,-,90',16 57.0,-40 27,254.25,-40.45,E
IC  4634,N/A,PK 0+12.1,Pln Neb,OPH,12,6.6,20'',17 01.6,-21 50,255.4,-21.833333333333332,2a(3)
IC  4637,N/A,PK 345+0.1,Pln Neb,SCO,13.5,9.2,21'',17 05.2,-40 53,256.3,-40.88333333333333,3
IC  4642,N/A,PK 334-9.1,Pln Neb,ARA,12.4,9.6,15'',17 11.8,-55 24,257.95,-55.4,4
IC  4651,N/A,OCL  987,Opn CL,ARA,6.9,-,10',17 24.8,-49 56,261.2,-49.93333333333333,II 3 m
IC  4663,N/A,PK 346-8.1,Pln Neb,SCO,13,8.8,14'',17 45.5,-44 54,266.375,-44.9,4
IC  4665,N/A,OCL   85,Opn CL,OPH,4.2,-,41',17 46.3,+05 43,266.57500000000005,5.716666666666667,III 2 p
IC  4673,N/A,PK 3-2.3,Pln Neb,SGR,13,9.9,18'',18 03.3,-27 06,270.825,-27.1,4
IC  4684,N/A,IC 4681,Brt Neb,SGR,-,-,3',18 09.1,-23 26,272.27500000000003,-23.433333333333334,E+*
IC  4685,N/A,OCL   22,Brt Neb,SGR,-,-,10',18 09.3,-23 59,272.32500000000005,-23.983333333333334,E+*
IC  4699,N/A,PK 348-13.1,Pln Neb,TEL,12,7.2,13'',18 18.5,-45 59,274.625,-45.983333333333334,2
IC  4701,N/A,Gum 79;RCW 157,Brt Neb,SGR,-,-,60',18 16.0,-16 44,274.0,-16.733333333333334,E
IC  4721,N/A,ESO 140-G027,Galaxy,PAV,11.6,13.7,5.6',18 34.4,-58 30,278.6,-58.5,SBc
IC  4732,N/A,PK 10-6.1,Pln Neb,SGR,13.3,6.2,3.6'',18 33.9,-22 39,278.475,-22.65,1
IC  4756,Graff's Cluster,Cr 386,Opn CL,SER,4.6,-,39',18 39.0,+05 27,279.75,5.45,III 2 m
IC  4776,N/A,PK 2-13.1,Pln Neb,SGR,12.5,6.4,8'',18 45.8,-33 21,281.45,-33.35,2a
IC  4812,N/A,ESO 396-*N12,Brt Neb,CRA,-,-,20',19 01.1,-37 04,285.27500000000003,-37.06666666666667,E+*
IC  4846,N/A,PK 27-9.1,Pln Neb,AQL,12,4.5,2'',19 16.5,-09 03,289.125,-9.05,2
IC  4889,N/A,IC 4891,Galaxy,TEL,11.1,12.8,2.7',19 45.3,-54 21,296.325,-54.35,E5
IC  4946,N/A,New 5,Galaxy,SGR,12.6,12.4,2.4',20 23.9,-44 00,305.975,-44.0,SAB
IC  4954,N/A,IC 4955;Ced 175,Brt Neb,VUL,-,-,10',20 04.8,+29 15,301.2,29.25,E
IC  4996,N/A,Cr 418,Opn CL,CYG,7.3,-,6',20 16.5,+37 38,304.125,37.63333333333333,I 3 p n
IC  4997,N/A,PK 58-10.1,Pln Neb,SGE,11.3,2.9,2'',20 20.1,+16 44,305.02500000000003,16.733333333333334,1
IC  5006,N/A,N/A,Star,AQL,12,-,N/A,20 23.7,+06 28,305.925,6.466666666666667,N/A
IC  5063,N/A,ESO 187-23,Galaxy,IND,11.9,12.9,2.4',20 52.0,-57 04,313.0,-57.06666666666667,SA0
IC  5067,Pelican Nebula,IC 5070; LBN  350,Brt Neb,CYG,8,-,60',20 50.8,+44 21,312.7,44.35,E
IC  5068,N/A,LBN  328,Brt Neb,CYG,-,-,40',20 50.8,+42 31,312.7,42.516666666666666,E
