designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
M   1,Crab Nebula,NGC 1952,SN Rem,TAU,8.4,11,8',05 34.5,+22 01,83.63291666666666,22.0145,N/A
M   2,N/A,NGC 7089,Glob CL,AQR,6.5,11,11.7',21 33.5,-00 49,323.3625,-0.82325,II
M   3,N/A,NGC 5272,Glob CL,CVN,6.3,11,18.6',13 42.2,+28 23,205.54833333333332,28.377277777777778,VI
M   4,N/A,NGC 6121,Glob CL,SCO,5.4,12,26.3',16 23.6,-26 32,245.89666666666665,-26.52575,IX
M   5,N/A,NGC 5904,Glob CL,SER,5.7,11,19.9',15 18.6,+02 05,229.63833333333335,2.081027777777778,V
M   6,Butterfly Cluster,NGC 6405,Opn CL,SCO,4.2,10,20',17 40.3,-32 15,265.075,-32.25,III 2 p
M   7,Ptolemy's Cluster,NGC 6475,Opn CL,SCO,3.3,12,80',17 53.9,-34 48,268.46333333333337,-34.79277777777778,II 2 r
M   8,Lagoon Nebula,NGC 6530,Opn CL,SGR,4.6,-,15',18 04.5,-24 21,270.90416666666664,-24.386666666666667,II 2 m n
M   8,Lagoon Nebula,NGC 6523,CL+Neb,SGR,5,13,45',18 03.7,-24 23,270.90416666666664,-24.386666666666667,E
M   9,N/A,NGC 6333,Glob CL,OPH,7.9,11,5.5',17 19.2,-18 31,259.7991666666667,-18.51625,VIII
M  10,N/A,NGC 6254,Glob CL,OPH,6.6,12,12.2',16 57.1,-04 06,254.28708333333336,-4.0994722222222215,VII
M  11,July Salt-and-Pepper,NGC 6705,Opn CL,SCT,5.8,9,14',18 51.1,-06 16,282.775,-6.266666666666667,I 2 r
M  12,N/A,NGC 6218,Glob CL,OPH,6.1,12,14.5',16 47.2,-01 57,251.80916666666667,-1.9485277777777779,IX
M  13,Hercules Globular Cluster,NGC 6205,Glob CL,HER,5.8,12,23.2',16 41.7,+36 28,250.42166666666665,36.45986111111112,V
M  14,N/A,NGC 6402,Glob CL,OPH,7.6,12,6.7',17 37.6,-03 15,264.40083333333337,-3.2459166666666666,VIII
M  15,N/A,NGC 7078,Glob CL,PEG,6.4,11,12.3',21 30.0,+12 10,322.4929166666667,12.167,IV
M  16,N/A,NGC 6611,CL+Neb,SER,6,12,7',18 18.8,-13 47,274.7,-13.783333333333333,II 3 m n:a
M  17,Checkmark Nebula,NGC 6618,CL+Neb,SGR,6,13,11',18 20.8,-16 11,275.1083333333333,-16.17666666666667,III 3 m n:
M  18,N/A,NGC 6613,Opn CL,SGR,6.9,12,9',18 19.9,-17 08,274.975,-17.133333333333333,II 3 p n
