designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
NGC    1,N/A,UGC    57,Galaxy,PEG,12.9,13.5,1.7',00 07.3,+27 43,1.816,27.70808333333333,Sb
NGC    3,N/A,UGC    58,Galaxy,PSC,13.3,12.8,1.1',00 07.3,+08 18,1.82,8.30163888888889,SO
NGC    5,N/A,UGC    62,Galaxy,AND,13.3,13.2,1.2',00 07.8,+35 22,1.9536250000000002,35.36230555555556,Elliptical
NGC    6,N/A,NGC   20,Galaxy,AND,13,-,N/A,00 09.5,+33 19,2.38625,33.30866666666667,E-SO
NGC    7,N/A,ESO 409-22,Galaxy,SCL,13.9,14,2.2',00 08.3,-29 55,2.0873333333333335,-29.915,SBc
NGC    9,N/A,UGC    78,Galaxy,PEG,13.6,13.3,1.1',00 08.9,+23 49,2.2279166666666668,23.816972222222223,Sbp
NGC   10,N/A,ESO 349-32,Galaxy,SCL,12.5,13.5,2.4',00 08.6,-33 52,2.1439166666666667,-33.858333333333334,SBbc
NGC   11,N/A,UGC    73,Galaxy,AND,13.7,12.5,1.5',00 08.7,+37 27,2.177083333333333,37.447916666666664,Sa
NGC   12,N/A,UGC    74,Galaxy,PSC,13.1,14,1.6',00 08.7,+04 37,2.1864583333333334,4.612527777777777,SBbc
NGC   13,N/A,UGC    77,Galaxy,AND,13.2,13.5,2.3',00 08.8,+33 26,2.198833333333333,33.43333333333333,Sab
NGC   14,N/A,UGC    75,Galaxy,PEG,12.1,13.9,2.8',00 08.8,+15 49,2.1933333333333334,15.815555555555557,Irp+
NGC   15,N/A,UGC    82,Galaxy,PEG,13.8,13.1,1',00 09.0,+21 37,2.2602916666666664,21.62452777777778,Sa
NGC   16,N/A,UGC    80,Galaxy,PEG,12,12.4,1.8',00 09.1,+27 44,2.267875,27.729416666666665,E3
NGC   17,N/A,NGC   34,Galaxy,CET,13.8,-,2.1',00 11.1,-12 07,2.7772916666666667,-12.107305555555556,S
NGC   20,N/A,NGC    6,Galaxy,AND,13,13.8,1.7',00 09.5,+33 19,2.38625,33.30866666666667,E-SO
NGC   21,N/A,NGC   29,Galaxy,AND,12.7,12.6,1.5',00 10.8,+33 21,2.6954166666666666,33.352833333333336,SBbc
NGC   22,N/A,UGC    80,Galaxy,PEG,13.6,14.3,1.7',00 09.8,+27 50,2.4507916666666665,27.832305555555557,Sb
NGC   23,N/A,UGC    89,Galaxy,PEG,12,13,2.5',00 09.9,+25 55,2.4725416666666664,25.92377777777778,SBa
NGC   24,N/A,ESO 472-16,Galaxy,SCL,11.6,13.7,6.1',00 09.9,-24 58,2.4855833333333335,-24.96313888888889,Sc
NGC   25,N/A,ESO 149-19,Galaxy,PHE,13,13,1.4',00 10.0,-57 01,2.497,-57.020833333333336,E-SO Bar
NGC   26,N/A,UGC    94,Galaxy,PEG,12.7,13.6,2.1',00 10.4,+25 50,2.6077916666666665,25.831833333333332,Sab Ring
NGC   27,N/A,UGC    96,Galaxy,AND,13.4,12.8,1.2',00 10.5,+29 00,2.636541666666666,28.99625,Sb
NGC   28,N/A,AM 0007-571,Galaxy,PHE,13.6,13.1,0.6',00 10.4,-56 59,2.6051666666666664,-56.98913888888889,Pec
NGC   29,N/A,NGC   21,Galaxy,AND,12.7,12.9,1.5',00 10.8,+33 21,2.6954166666666666,33.352833333333336,SBbc
NGC   34,N/A,NGC   17,Galaxy,CET,13.8,-,2.1',00 11.1,-12 07,2.7772916666666667,-12.107305555555556,S
NGC   35,N/A,MCG - 2- 1- 33,Galaxy,CET,14,-,0.7',00 11.2,-12 01,2.7936666666666667,-12.020916666666668,Sb
NGC   36,N/A,UGC   106,Galaxy,PSC,13.1,14.2,2.2',00 11.4,+06 23,2.8429166666666665,6.3893611111111115,SBb
NGC   37,N/A,ESO 149-22,Galaxy,PHE,13.7,13.2,1.1',00 11.4,-56 57,2.8455416666666666,-56.95733333333334,SBO
NGC   38,N/A,MCG - 1- 1- 47,Galaxy,PSC,13.5,-,1.4',00 11.8,-05 35,2.9457916666666666,-5.586277777777777,Sa
NGC   39,N/A,UGC   114,Galaxy,AND,13.5,13.6,1.1',00 12.3,+31 04,3.0785833333333334,31.061083333333332,Sc
NGC   40,N/A,PK 120+9.1,Pln Neb,CEP,10.7,7.3,60'',00 13.0,+72 31,3.2542916666666666,72.52194444444444,3b(3)
NGC   41,N/A,MCG   4- 1- 39,Galaxy,PEG,13.6,12.6,0.8',00 12.8,+22 01,3.199875,22.02338888888889,Sc
