designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
3C 273,N/A,PGC 41121,Quasar,VIR,13,-,N/A,12 29.1,+02 03,187.27499999999998,2.05,N/A
AND I,N/A,PGC 2666,Galaxy,AND,13.2,-,4.0',00 45.7,+38 03,11.425,38.05,E3
AND II,N/A,PGC 4601,Galaxy,PSC,13.5,-,2.0',01 16.4,+33 25,19.1,33.416666666666664,dE2
Antalova 1,N/A,N/A,Opn CL,SCO,-,-,12.0',17 28.9,-31 33,262.22499999999997,-31.55,IV 2pn:b
Antalova 2,N/A,N/A,Opn CL,SCO,8.8,-,3',17 29.7,-32 30,262.425,-32.5,Iv 1p
Archinal 1,N/A,N/A,Opn CL,SER,-,-,1.5',18 54.7,+05 33,283.67499999999995,5.55,II 2 p
Arp  2,N/A,N/A,Glob CL,SGR,13.6,15.1,2.3',19 28.8,-30 21,292.2,-30.35,N/A
Auner 1,N/A,N/A,Opn CL,CMA,-,-,2.5',07 04.3,-19 45,106.07499999999999,-19.75,III 2m :b
Av-Hunter 1,N/A,N/A,Opn CL,AND,-,-,47',23 37.8,+48 34,354.45,48.56666666666667,IV 2pn:b
Bark 1,N/A,N/A,Opn CL,CYG,-,-,20',20 53.7,+46 02,313.425,46.03333333333333,III 2 m
Bark 2,N/A,N/A,Opn CL,CYG,-,-,5',21 43.6,+51 04,325.9,51.06666666666667,III 1p :b
Basel  1,N/A,Apriamasvili 1,Opn CL,SCT,8.9,-,9',18 48.1,-05 51,282.025,-5.85,I 2 m
Basel  4,N/A,N/A,Opn CL,AUR,9.1,-,8',05 48.9,+30 11,87.225,30.183333333333334,II 1 p
Basel  5,N/A,N/A,Opn CL,SGR,-,-,9.0',17 52.5,-30 06,268.125,-30.1,III 2mn:b
Basel  6,N/A,N/A,Opn CL,CYG,7.7,-,14.0',20 06.8,+38 21,301.7,38.35,N/A
Basel  7,N/A,N/A,Opn CL,MON,8.5,-,5',06 36.3,+08 21,99.075,8.35,IV 1p
Basel  8,N/A,N/A,Opn CL,MON,-,-,30',06 34.2,+08 05,98.55000000000001,8.083333333333334,IV 3mn:b
Basel 10,N/A,N/A,Opn CL,PER,9.9,-,2',02 19.5,+58 19,34.875,58.31666666666667,II 1p
Basel 11A,N/A,N/A,Opn CL,CMA,8.2,-,9.0',07 17.1,-13 58,109.275,-13.966666666666667,II 3 m
Basel 11B,N/A,N/A,Opn CL,ORI,8.9,-,9.0',05 58.2,+21 58,89.55,21.966666666666665,II 2 m
Basel 12,N/A,N/A,Opn CL,CYG,-,-,7',21 10.6,+46 14,317.65,46.233333333333334,III 2p :b
Basel 13,N/A,N/A,Opn CL,CYG,-,-,10',21 13.2,+46 34,318.29999999999995,46.56666666666667,N/A
Basel 14,N/A,N/A,Opn CL,CYG,-,-,12.0',21 21.2,+44 48,320.29999999999995,44.8,II 3pn:b
Basel 15,N/A,N/A,Opn CL,CYG,-,-,6',21 16.0,+48 50,319.0,48.833333333333336,N/A
Biur  1,N/A,N/A,Opn CL,CYG,-,-,15',20 07.5,+35 41,301.875,35.68333333333333,IV 3 p n
Biur  2,N/A,N/A,Opn CL,CYG,6.3,-,13',20 09.2,+35 29,302.3,35.483333333333334,III 2 p
Biur  7,N/A,N/A,Opn CL,MON,-,-,5',06 57.6,+08 17,104.4,8.283333333333333,II 1m:b
Biur  8,N/A,Berk  32,Opn CL,MON,-,-,6',06 58.1,+06 26,104.525,6.433333333333334,II 2 r
Biur  9,N/A,N/A,Opn CL,MON,-,-,4',06 57.8,+03 14,104.44999999999999,3.2333333333333334,II 2m :b
Biur 10,N/A,Berk  28,Opn CL,MON,10.4,-,4',06 52.2,+02 56,103.05,2.9333333333333336,I 3 p
Biur 11,N/A,N/A,Opn CL,MON,-,-,3',06 51.4,+05 46,102.85,5.766666666666667,III 1p :b
Biur 12,N/A,Berk  26,Opn CL,MON,-,-,4',06 51.3,+05 44,102.825,5.733333333333333,III 1m:b
Biur 13,N/A,N/A,Opn CL,MON,-,-,5',07 00.3,-00 14,105.075,-0.23333333333333334,IV 1p :b
Blanco 1,N/A,N/A,Opn CL,SCL,4.5,-,89.0',00 04.3,-29 56,1.075,-29.933333333333334,IV 3 m
Bochum  1,N/A,N/A,Opn CL,GEM,7.9,-,26.0',06 25.5,+19 46,96.375,19.766666666666666,N/A
Bochum  2,N/A,N/A,Opn CL,MON,9.7,-,1.5',06 48.9,+00 23,102.225,0.38333333333333336,I 1 p
Bochum  3,N/A,N/A,Opn CL,MON,9.9,-,4',07 03.5,-05 00,105.875,-5.0,IV 1 p
Bochum  4,N/A,N/A,Opn CL,PUP,7.3,-,23',07 31.0,-16 57,112.75,-16.95,N/A
Bochum  5,N/A,N/A,Opn CL,PUP,7,-,11.0',07 32.1,-16 57,113.025,-16.95,I 2pn
Bochum  6,N/A,N/A,Opn CL,PUP,9.9,-,10',07 31.8,-19 27,112.95,-19.45,I 3 mn
Bochum  7,N/A,N/A,Opn CL,VEL,6.8,-,20',08 44.8,-45 58,131.2,-45.96666666666667,IV 3 p
Bochum 10,N/A,N/A,Opn CL,CAR,6.2,-,20',10 42.2,-59 09,160.55,-59.15,II 3 mn
Bochum 13,N/A,N/A,Opn CL,SCO,7.2,-,15',17 17.3,-35 33,259.325,-35.55,III 3 m
Bochum 14,N/A,N/A,Opn CL,SGR,9.3,-,2',18 02.0,-23 42,270.5,-23.7,III 1 pn
Bochum 15,N/A,N/A,Opn CL,PUP,6.3,-,3',07 40.2,-33 33,115.05,-33.55,IV 2 pn
Ced  19c,N/A,N/A,Brt Neb,TAU,-,-,16',03 44.8,+24 17,56.199999999999996,24.283333333333335,R
Ced  19e,N/A,N/A,Brt Neb,TAU,-,-,21',03 45.2,+24 28,56.300000000000004,24.466666666666665,R
Ced  19h,N/A,N/A,Brt Neb,TAU,-,-,15',03 45.9,+24 33,56.475,24.55,R
Ced  19o,N/A,N/A,Brt Neb,TAU,-,-,11',03 49.2,+24 03,57.300000000000004,24.05,R
