designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
PK   0- 2.4,N/A,M2-21,Pln Neb,SGR,13.6,8.9,7.0'',17 58.1,-29 45,269.525,-29.75,1
PK   0- 4.2,N/A,ESO 456-54,Pln Neb,SGR,13.8,10.2,11.0'',18 07.1,-30 34,271.775,-30.566666666666666,2
PK   1- 6.1,N/A,N/A,Pln Neb,SGR,14,-,10'',18 15.4,-30 32,273.85,-30.533333333333335,N/A
PK   1- 6.2,N/A,SwSt 1,Pln Neb,SGR,11.8,6.5,5'',18 16.2,-30 52,274.05,-30.866666666666667,1
PK   2- 2.4,N/A,M2-23,Pln Neb,SGR,12.4,8.2,9.0'',18 01.7,-28 26,270.425,-28.433333333333334,1
PK   2- 3.5,N/A,He2-344,Pln Neb,SGR,9.3,-,3.3'',18 06.1,-28 41,271.525,-28.683333333333334,N/A
PK   2- 4.2,N/A,M1-42,Pln Neb,SGR,13.3,-,9'',18 11.1,-28 59,272.775,-28.983333333333334,4
PK   2- 5.1,N/A,N/A,Pln Neb,SGR,11.5,-,10'',18 14.6,-29 49,273.65,-29.816666666666666,N/A
PK   2- 6.1,N/A,M2-33,Pln Neb,SGR,13.1,8,6.0'',18 15.1,-30 16,273.775,-30.266666666666666,2
PK   2- 6.2,N/A,He2-380,Pln Neb,SGR,12.8,-,7'',18 16.3,-30 08,274.07500000000005,-30.133333333333333,1
PK   2- 9.1,N/A,Cannon 1-5,Pln Neb,SGR,12.6,7.2,7.0'',18 29.2,-31 30,277.3,-31.5,N/A
PK   3- 4.7,N/A,ESO 456-69,Pln Neb,SGR,11,-,12'',18 11.6,-28 22,272.9,-28.366666666666667,N/A
PK   3- 4.8,N/A,M2-30,Pln Neb,SGR,13.1,-,9.0'',18 12.6,-27 58,273.15000000000003,-27.966666666666665,1
PK   3- 6.1,N/A,M2-36,Pln Neb,SGR,13,7.5,8.8'',18 17.7,-29 08,274.425,-29.133333333333333,2
PK   3+ 2.1,N/A,Hubble  4,Pln Neb,OPH,13.1,-,6.6'',17 41.9,-24 42,265.475,-24.7,3b
PK   3+ 3.1,N/A,ESO 520-14,Pln Neb,OPH,14,-,3.5'',17 40.1,-24 26,265.025,-24.433333333333334,2
PK   3-14.1,N/A,Hubble  7,Pln Neb,SGR,10.9,6.1,4'',18 55.6,-32 16,283.9,-32.266666666666666,2
PK   3-17.1,N/A,Hubble  8,Pln Neb,SGR,13.4,7.4,5.0'',19 05.6,-33 12,286.4,-33.2,2
PK   4- 5.1,N/A,M3-26,Pln Neb,SGR,13.8,9.6,9.0'',18 16.2,-27 15,274.05,-27.25,4
PK   4+ 4.1,N/A,M1-25,Pln Neb,OPH,14,-,4.7'',17 38.5,-22 09,264.625,-22.15,2
PK   4-11.1,N/A,M3-29,Pln Neb,SGR,13.1,8.8,8.4'',18 39.5,-30 41,279.875,-30.683333333333334,2
PK   6- 3.3,N/A,M2-31,Pln Neb,SGR,13.2,-,5'',18 13.3,-25 30,273.325,-25.5,1
PK   6- 4.1,N/A,Perek 2-13,Pln Neb,SGR,13.4,8.7,6.9'',18 18.2,-25 38,274.55,-25.633333333333333,N/A
PK   6+ 2.5,N/A,M1-31,Pln Neb,SGR,13.6,-,7.0'',17 52.7,-22 22,268.175,-22.366666666666667,1
PK   6+ 8.1,N/A,M1-20,Pln Neb,OPH,13.4,-,7.0'',17 29.0,-19 16,262.25,-19.266666666666666,1
PK   7- 6.2,N/A,VY 2-1,Pln Neb,SGR,13.1,8.2,7'',18 28.0,-26 07,277.0,-26.116666666666667,1
PK   7+ 1.1,N/A,Hubble  6,Pln Neb,SGR,13.1,7.7,6.6'',17 55.1,-21 45,268.775,-21.75,2
PK   7+ 7.1,N/A,M1-22,Pln Neb,OPH,13.3,-,9.3'',17 35.2,-18 34,263.8,-18.566666666666666,4
PK   8- 4.2,N/A,M2-42,Pln Neb,SGR,14,-,4.7'',18 22.6,-24 10,275.65,-24.166666666666668,2
PK   8+ 6.1,N/A,He2-260,Pln Neb,OPH,11,-,10'',17 38.9,-18 18,264.725,-18.3,N/A
PK   9- 4.1,N/A,Haro 1-67,Pln Neb,SGR,14,-,6.3'',18 25.1,-22 35,276.275,-22.583333333333332,2
PK   9- 9.1,N/A,M3-32,Pln Neb,SGR,13.6,-,6.6'',18 44.7,-25 20,281.175,-25.333333333333332,2
PK   9-10.1,N/A,M3-33,Pln Neb,SGR,14,8.1,5.9'',18 48.2,-25 29,282.05,-25.483333333333334,2
PK   9-21.1,N/A,K1- 5,Galaxy,SGR,13.5,-,0.2',19 32.4,-29 24,293.09999999999997,-29.4,3(6)
PK  10+18.2,N/A,M2- 9,Pln Neb,OPH,13.2,-,50'',17 05.7,-10 09,256.42499999999995,-10.15,?(6)
PK  11- 5.1,N/A,M1-47,Pln Neb,SGR,13.1,-,4.8'',18 29.2,-21 47,277.3,-21.783333333333335,2
PK  12- 7.1,N/A,N/A,Pln Neb,SGR,12,-,10'',18 42.6,-21 17,280.65000000000003,-21.283333333333335,N/A
PK  12- 9.1,N/A,M1-62,Pln Neb,SGR,13.2,-,3.7'',18 50.5,-22 35,282.625,-22.583333333333332,2
PK  13- 7.1,N/A,Peimbert 21,Pln Neb,SGR,13.9,10.7,14.9'',18 45.6,-20 35,281.40000000000003,-20.583333333333332,?(3)
PK  13+ 4.1,N/A,M1-33,Pln Neb,SER,13.7,-,5'',17 59.0,-15 32,269.75,-15.533333333333333,2
PK  13+32.1,N/A,Shane 1,Pln Neb,SER,12.8,-,6.0'',16 21.1,+00 17,245.275,0.2833333333333333,N/A
PK  14- 4.1,N/A,M1-50,Pln Neb,SGR,13,-,5.8'',18 33.4,-18 17,278.34999999999997,-18.283333333333335,2
PK  15- 4.1,N/A,M1-53,Pln Neb,SGR,13.9,-,6.6'',18 35.8,-17 36,278.95,-17.6,2
PK  16- 4.1,N/A,M1-54,Pln Neb,SGR,12.5,-,13.0'',18 36.2,-17 00,279.04999999999995,-17.0,3
PK  16- 4.2,N/A,M1-56,Pln Neb,SGR,13.5,9.5,10'',18 37.8,-17 05,279.45,-17.083333333333332,1
PK  18+20.1,N/A,Nassau 1,Pln Neb,OPH,13.4,-,5.0'',17 12.9,-03 16,258.225,-3.2666666666666666,N/A
PK  19- 5.1,N/A,M1-61,Pln Neb,SCT,12.5,-,2.0'',18 45.9,-14 28,281.475,-14.466666666666667,1
PK  19-19.1,N/A,K2- 7,Pln Neb,SGR,13.1,-,2.3',19 40.5,-20 27,295.125,-20.45,3b
PK  20- 0.1,N/A,Abell 45,Pln Neb,SCT,12.9,-,4.8',18 30.3,-11 37,277.575,-11.616666666666667,3b
