designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
Ru   1,N/A,N/A,Opn CL,CMA,-,-,11',06 36.4,-14 09,99.1,-14.15,III 1 p
Ru   2,N/A,N/A,Opn CL,CMA,-,-,7',06 41.0,-29 33,100.25,-29.55,IV 3 p
Ru   3,N/A,N/A,Opn CL,CMA,-,-,2.8',06 42.1,-29 27,100.52499999999999,-29.45,II 1 p
Ru   4,N/A,N/A,Opn CL,MON,-,-,5',06 49.0,-10 31,102.25,-10.516666666666667,III 2m :b
Ru   5,N/A,N/A,Opn CL,CMA,-,-,2',06 55.4,-18 44,103.85000000000001,-18.733333333333334,IV 1p :b
Ru   6,N/A,N/A,Opn CL,CMA,-,-,2',06 56.1,-13 15,104.025,-13.25,III 1p :b
Ru   7,N/A,N/A,Opn CL,CMA,-,-,4',06 57.8,-13 13,104.44999999999999,-13.216666666666667,II 2m :b
Ru   8,N/A,N/A,Opn CL,CMA,-,-,4',07 01.7,-13 33,105.425,-13.55,IV 1p :b
Ru  10,N/A,N/A,Opn CL,CMA,-,-,4.5',07 06.5,-20 07,106.625,-20.116666666666667,III 1p :b
Ru  11,N/A,N/A,Opn CL,CMA,-,-,2.9',07 07.4,-20 48,106.85,-20.8,III 2 p
Ru  12,N/A,N/A,Opn CL,CMA,-,-,5',07 07.2,-28 09,106.8,-28.15,IV 1p :b
Ru  13,N/A,N/A,Opn CL,CMA,-,-,4.2',07 07.9,-25 52,106.97500000000001,-25.866666666666667,IV 2p :b
Ru  14,N/A,N/A,Opn CL,CMA,-,-,2.3',07 15.0,-31 21,108.75,-31.35,IV 1p :b
Ru  15,N/A,N/A,Opn CL,CMA,-,-,1.7',07 19.6,-19 38,109.9,-19.633333333333333,II 1p :b
Ru  16,N/A,N/A,Opn CL,CMA,-,-,11',07 23.2,-19 27,110.8,-19.45,IV 2 p
Ru  17,N/A,N/A,Opn CL,CMA,-,-,5',07 23.6,-23 11,110.9,-23.183333333333334,II 1p :b
Ru  18,N/A,N/A,Opn CL,CMA,9.4,-,4',07 24.7,-26 11,111.17500000000001,-26.183333333333334,III 2 p
Ru  19,N/A,N/A,Opn CL,CMA,-,-,8',07 25.6,-21 30,111.4,-21.5,IV 1p :b
Ru  20,N/A,N/A,Opn CL,CMA,9.5,-,10',07 26.7,-28 50,111.67500000000001,-28.833333333333332,III 2 m
Ru  22,N/A,N/A,Opn CL,PUP,-,-,2.8',07 29.3,-29 11,112.325,-29.183333333333334,IV 1p :b
Ru  23,N/A,N/A,Opn CL,PUP,-,-,3',07 30.7,-23 22,112.675,-23.366666666666667,III 1p :b
Ru  24,N/A,N/A,Opn CL,PUP,-,-,2',07 31.9,-12 47,112.975,-12.783333333333333,III 1 p
Ru  25,N/A,N/A,Opn CL,PUP,-,-,0.7',07 36.8,-23 23,114.2,-23.383333333333333,III 1p :b
Ru  26,N/A,N/A,Opn CL,PUP,-,-,10',07 37.2,-15 41,114.3,-15.683333333333334,III 1p :b
Ru  27,N/A,N/A,Opn CL,PUP,-,-,18',07 37.6,-26 30,114.4,-26.5,II 2 m
Ru  28,N/A,N/A,Opn CL,PUP,-,-,4',07 39.6,-29 18,114.9,-29.3,IV 1p :b
Ru  30,N/A,N/A,Opn CL,PUP,-,-,6.5',07 42.2,-31 28,115.55,-31.466666666666665,II 2 p
Ru  31,N/A,N/A,Opn CL,PUP,-,-,2',07 42.0,-35 35,115.5,-35.583333333333336,I 3 p
Ru  32,N/A,N/A,Opn CL,PUP,8.4,-,6',07 45.0,-25 31,116.25,-25.516666666666666,III 2 p n
Ru  33,N/A,N/A,Opn CL,PUP,-,-,6',07 45.8,-21 57,116.45,-21.95,IV 1p :b
Ru  34,N/A,N/A,Opn CL,PUP,9.5,-,4',07 45.9,-20 23,116.475,-20.383333333333333,III 2 p
Ru  35,N/A,N/A,Opn CL,PUP,-,-,0.8',07 46.2,-31 17,116.55,-31.283333333333335,II 1p :b
