designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
Sh2-  1,N/A,LBN 1093,Brt Neb,SCO,-,-,150',15 55.7,-25 40,238.92499999999998,-25.666666666666668,E+R
Sh2-  3,N/A,Gum 58;RCW 120,Brt Neb,SCO,-,-,7.3',17 12.3,-38 29,258.075,-38.483333333333334,E
Sh2-  5,N/A,Gum 59;RCW 123,Brt Neb,SCO,-,-,32',17 24.9,-38 12,261.22499999999997,-38.2,E
Sh2-  9,N/A,N/A,Brt Neb,SCO,-,-,35',16 20.2,-25 22,245.04999999999998,-25.366666666666667,E+R
Sh2- 13,N/A,Gum 68;RCW 133,Brt Neb,SCO,-,-,40',17 29.0,-31 31,262.25,-31.516666666666666,E
Sh2- 16,N/A,Gum 70,Brt Neb,SGR,-,-,14',17 46.6,-29 18,266.65000000000003,-29.3,E
Sh2- 46,N/A,Gum 80;RCW 158,Brt Neb,SER,-,-,30',18 06.1,-14 11,271.525,-14.183333333333334,E
Sh2- 53,N/A,N/A,Brt Neb,SCT,-,-,15',18 25.2,-13 14,276.3,-13.233333333333333,E
Sh2- 55,N/A,LBN 74,Brt Neb,SCT,-,-,5',18 32.2,-11 46,278.04999999999995,-11.766666666666667,E
Sh2- 64,N/A,LBN 90,Brt Neb,SER,-,-,20',18 31.6,-02 05,277.90000000000003,-2.0833333333333335,E
Sh2- 72,N/A,N/A,Brt Neb,AQL,-,-,25',19 03.8,+02 19,285.95,2.3166666666666664,E
Sh2- 82,N/A,N/A,Brt Neb,SGE,-,-,7',19 30.3,+18 16,292.575,18.266666666666666,E+R
Sh2- 84,N/A,N/A,Brt Neb,SGE,-,-,15',19 49.0,+18 24,297.25,18.4,E
Sh2- 88,N/A,LBN 149,Brt Neb,VUL,-,-,18',19 46.0,+25 20,296.5,25.333333333333332,E
Sh2- 90,N/A,LBN 144,Brt Neb,VUL,-,-,5',19 49.3,+26 51,297.325,26.85,E
Sh2- 91,N/A,N/A,SN Rem,CYG,-,-,120',19 35.6,+29 37,293.9,29.616666666666667,N/A
Sh2-101,N/A,N/A,Brt Neb,CYG,-,-,16',20 00.0,+35 17,300.0,35.28333333333333,E
Sh2-104,N/A,N/A,Brt Neb,CYG,-,-,7',20 17.8,+36 46,304.45,36.766666666666666,E
Sh2-112,N/A,N/A,Brt Neb,CYG,-,-,15',20 33.9,+45 39,308.475,45.65,E
Sh2-115,N/A,N/A,Brt Neb,CYG,-,-,30',20 34.5,+46 48,308.625,46.8,E
Sh2-132,N/A,LBN 470,Brt Neb,CEP,-,-,40',22 19.3,+56 06,334.825,56.1,E
Sh2-155,N/A,LBN 529,Brt Neb,CEP,-,-,15',22 56.9,+62 37,344.225,62.61666666666667,E
Sh2-157,N/A,N/A,Brt Neb,CAS,-,-,60',23 16.1,+60 02,349.02500000000003,60.03333333333333,E
Sh2-188,N/A,LBN 633,Brt Neb,CAS,-,-,10',01 30.6,+58 23,22.65,58.38333333333333,E
Sh2-205,N/A,N/A,Brt Neb,CAM,-,-,80',03 53.2,+53 04,58.3,53.06666666666667,E
Sh2-223,N/A,N/A,SN Rem,AUR,-,-,70',05 16.6,+42 04,79.14999999999999,42.06666666666667,N/A
Sh2-224,N/A,LBN 769,SN Rem,AUR,-,-,31',05 26.9,+42 58,81.725,42.96666666666667,E
Sh2-231,N/A,LBN 808,Brt Neb,AUR,-,-,10',05 39.4,+35 56,84.85,35.93333333333333,E
Sh2-232,N/A,LBN 805,Brt Neb,AUR,-,-,37',05 42.5,+36 10,85.625,36.166666666666664,E
Sh2-235,N/A,N/A,Brt Neb,AUR,-,-,7.8',05 41.1,+35 52,85.275,35.86666666666667,E
Sh2-240,N/A,Simeis 147,SN Rem,TAU,-,-,200',05 39.1,+28 00,84.77499999999999,28.0,E
Sh2-241,N/A,LBN 824,Brt Neb,AUR,-,-,2',06 04.1,+30 15,91.025,30.25,E+R
Sh2-247,N/A,LBN 843,Brt Neb,GEM,-,-,10',06 08.5,+21 37,92.125,21.616666666666667,E
Sh2-261,N/A,LBN 863,Brt Neb,ORI,-,-,30',06 08.6,+15 47,92.15,15.783333333333333,E
Sh2-263,N/A,LBN 866,Brt Neb,ORI,-,-,20',05 21.4,+08 25,80.35,8.416666666666666,E+R
Sh2-264,N/A,N/A,Brt Neb,ORI,5,-,70',05 36.3,+10 00,84.075,10.0,E
Sh2-276,N/A,N/A,Brt Neb,ORI,7,12,600',05 54.4,-01 00,88.6,-1.0,E
Sh2-282,N/A,LBN 978,Brt Neb,MON,-,-,40',06 38.0,+01 29,99.5,1.4833333333333334,E
Sh2-294,N/A,LBN 1032,Brt Neb,MON,-,-,8',07 16.6,-09 26,109.14999999999999,-9.433333333333334,E
Sh2-301,N/A,Gum  5;RCW 6,Brt Neb,CMA,-,-,8',07 09.8,-18 30,107.45,-18.5,E
Sh2-302,N/A,Gum  6;RCW 7,Brt Neb,PUP,-,-,20',07 31.6,-16 58,112.89999999999999,-16.966666666666665,E
Sh2-307,N/A,Gum  7;RCW 12,Brt Neb,PUP,-,-,4',07 35.5,-18 46,113.875,-18.766666666666666,E
Sh2-311,N/A,LBN 1067,Brt Neb,PUP,-,-,16',07 52.4,-26 25,118.1,-26.416666666666668,E
Sh2-312,N/A,N/A,Brt Neb,PYX,-,-,720',09 00.0,-26 00,135.0,-26.0,E
