designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
UGC   191,N/A,D2,Galaxy,PSC,13.4,14,3',00 20.1,+10 53,5.025,10.883333333333333,S
UGC   439,N/A,MCG +00-02-125,Galaxy,CET,13.2,13.2,1.1',00 41.4,-01 43,10.35,-1.7166666666666668,Sa
UGC   711,N/A,MCG +00-04-008,Galaxy,CET,14,-,3.9',01 08.7,+01 39,17.175,1.65,Sc
UGC  1072,N/A,PGC 5574,Galaxy,CET,14,-,1.2',01 29.8,-01 15,22.45,-1.25,SO
UGC  1102,N/A,Arp 306A,Galaxy,PSC,13.9,-,1.4',01 32.6,+04 35,23.150000000000002,4.583333333333333,Pec
UGC  1195,N/A,MCG -02-05-011,Galaxy,PSC,13.2,-,3',01 42.4,+13 58,25.599999999999998,13.966666666666667,Irp+
UGC  1281,N/A,PGC 6699,Galaxy,TRI,12.6,-,4.5',01 49.6,+32 35,27.4,32.583333333333336,Sdm
UGC  1385,N/A,Mrk    2,Galaxy,AND,13.4,12.3,0.8',01 54.9,+36 55,28.725,36.916666666666664,SBa
UGC  1546,N/A,PGC 7826,Galaxy,ARI,13.7,13.8,1.1',02 03.4,+18 38,30.85,18.633333333333333,Sc
UGC  1547,N/A,PGC 7825,Galaxy,ARI,13.9,15.5,2',02 03.4,+22 02,30.85,22.033333333333335,Ir+
UGC  1551,N/A,PGC 7841,Galaxy,ARI,13.5,14.4,2.8',02 03.6,+24 04,30.900000000000002,24.066666666666666,SBdm
UGC  1561,N/A,PGC 7871,Galaxy,ARI,14,13.8,1.4',02 04.1,+24 12,31.025,24.2,Irp+
UGC  2023,N/A,PGC 9726,Galaxy,TRI,13.9,15.2,2.0',02 33.3,+33 30,38.324999999999996,33.5,Im
UGC  2034,N/A,PGC 9759,Galaxy,AND,13.1,15.1,3.1',02 33.7,+40 32,38.425,40.53333333333333,Ir+
UGC  2082,N/A,MCG +04-07-016,Galaxy,ARI,12.9,14.5,6.2',02 36.3,+25 26,39.075,25.433333333333334,Sc
UGC  2105,N/A,Mrk 1050,Galaxy,TRI,13.5,13.2,1.5',02 37.7,+34 26,39.425000000000004,34.43333333333333,SBa
UGC  2119,N/A,PGC 9973,Galaxy,CET,13.5,13.7,2',02 37.9,-01 51,39.475,-1.85,SBb
UGC  2259,N/A,PGC 10586,Galaxy,PER,13.4,14.9,2.8',02 47.9,+37 32,41.975,37.53333333333333,SBdm
UGC  2275,N/A,PGC 10588,Galaxy,CET,13.4,16.6,5.8',02 48.0,+03 53,42.0,3.8833333333333333,Sm
UGC  2302,N/A,PGC 10670,Galaxy,CET,13.2,16.6,4.8',02 49.2,+02 08,42.300000000000004,2.1333333333333333,(R)SB(rs)m
UGC  2463,N/A,PGC 11371,Galaxy,PER,13.9,15.1,2.3',03 00.6,+40 15,45.15,40.25,SABm
UGC  2855,N/A,PGC 13880,Galaxy,CAM,12.9,15,4.4',03 48.4,+70 08,57.1,70.13333333333334,S(B)c
UGC  3504,N/A,MCG +10-10-009,Galaxy,LYN,12.3,14.1,3.1',06 40.1,+60 04,100.02499999999999,60.06666666666667,S(B)c
UGC  3574,N/A,MCG +10-10-017,Galaxy,LYN,12.6,15.3,4.2',06 53.1,+57 11,103.27499999999999,57.18333333333333,Sc
UGC  3580,N/A,PGC 19867,Galaxy,CAM,11.8,13.6,3.4',06 55.5,+69 35,103.875,69.58333333333333,Sa
UGC  3587,N/A,PGC 19813,Galaxy,GEM,13.8,13.4,2.8',06 53.8,+19 18,103.45,19.3,S
UGC  3685,N/A,PGC 20250,Galaxy,LYN,12,14.3,3.3',07 09.0,+61 36,107.25,61.6,SBb
UGC  3691,N/A,PGC 20214,Galaxy,GEM,11.9,12.7,2.2',07 08.0,+15 10,107.0,15.166666666666666,Sc
UGC  3697,Integral Sign Galaxy,PGC 20348,Galaxy,CAM,13.5,12.2,3.5',07 11.4,+71 50,107.85000000000001,71.83333333333333,Sbp
UGC  3730,N/A,PGC 20460,Galaxy,CAM,12.5,14.4,2.7',07 14.3,+73 29,108.575,73.48333333333333,Ring
UGC  3826,N/A,PGC 20927,Galaxy,CAM,13.5,15.9,3.5',07 24.5,+61 42,111.125,61.7,S(B)d
UGC  3912,N/A,PGC 21303,Galaxy,CMI,12.8,13.4,1.8',07 34.2,+04 32,113.55000000000001,4.533333333333333,Ir+
UGC  3946,N/A,PGC 21450,Galaxy,CMI,13.1,12.9,1.3',07 38.0,+03 18,114.5,3.3,Ir+
UGC  3964,N/A,PGC 21535,Galaxy,MON,13.1,13.6,1.7',07 40.3,-01 35,115.075,-1.5833333333333335,S(B)dm
UGC  3973,N/A,Mkn 79,Galaxy,LYN,13.9,11,1.4',07 42.5,+49 49,115.625,49.81666666666667,SBb
UGC  3974,N/A,PCG 21600,Galaxy,GEM,13.1,16.4,3.1',07 41.9,+16 48,115.475,16.8,Ir-
UGC  3975,N/A,PGC 21698,Galaxy,CAM,13.6,14.1,1.4',07 44.8,+72 48,116.19999999999999,72.8,SBdm
UGC  4013,N/A,Mkn 10,Galaxy,CAM,13.3,13.8,2',07 47.5,+60 56,116.875,60.93333333333333,Sb
UGC  4238,N/A,MCG +13-06-018,Galaxy,CAM,12.7,13.9,2.4',08 11.5,+76 26,122.875,76.43333333333334,SBd
UGC  4260,N/A,PGC 22955,Galaxy,LYN,13.5,14.3,1.7',08 11.2,+46 28,122.80000000000001,46.46666666666667,Ir-
UGC  4305,N/A,Holmberg II,Galaxy,UMA,11.1,14.8,7.6',08 19.2,+70 43,124.80000000000001,70.71666666666667,Ir+
UGC  4393,N/A,MCG +08-16-003,Galaxy,LYN,12.4,13.6,2.5',08 26.1,+45 58,126.525,45.96666666666667,SB
UGC  4499,N/A,PGC 24242,Galaxy,UMA,13,14.6,2.6',08 37.6,+51 39,129.4,51.65,S(B)dm
UGC  4543,N/A,PGC 24493,Galaxy,LYN,13.8,15.6,3.6',08 43.3,+45 44,130.825,45.733333333333334,Sdm
UGC  4559,N/A,PGC 24530,Galaxy,CNC,13.2,13.5,3',08 44.2,+30 07,131.04999999999998,30.116666666666667,Sb+
UGC  4687,N/A,PGC 25227,Galaxy,UMA,13.7,12.4,0.8',08 58.9,+66 28,134.72500000000002,66.46666666666667,Pec
UGC  4749,N/A,PGC 25473,Galaxy,UMA,13.5,12.6,0.9',09 04.5,+51 37,136.125,51.61666666666667,S
UGC  4787,N/A,PGC 25644,Galaxy,LYN,13.7,13.6,2.3',09 07.5,+33 16,136.875,33.266666666666666,Sdm
UGC  4797,N/A,PGC 25679,Galaxy,HYA,13.9,15.1,2.5',09 08.1,+05 56,137.025,5.933333333333334,S
UGC  4841,Holmberg III,MCG +12-09-032,Galaxy,CAM,12.4,14.3,2.8',09 14.8,+74 14,138.7,74.23333333333333,S(B)d
UGC  4922,N/A,PGC 26304,Galaxy,UMA,13.4,14.9,3.9',09 18.6,+47 52,139.65,47.86666666666667,Sm
UGC  5028,N/A,PGC 26849,Galaxy,UMA,13.8,12.4,0.7',09 27.8,+68 25,141.95,68.41666666666667,SBdm pec
UGC  5139,N/A,Holmberg I,Galaxy,UMA,12.5,14.9,3.5',09 40.5,+71 11,145.125,71.18333333333334,Ir+
UGC  5238,N/A,PGC 28087,Galaxy,SEX,13.7,14.2,2.5',09 46.9,+00 30,146.725,0.5,S(B)d
UGC  5249,N/A,PGC 28148,Galaxy,SEX,13.2,13.7,2.4',09 47.8,+02 37,146.95,2.6166666666666667,SBc
UGC  5349,N/A,MCG +06-22-043,Galaxy,LMI,13.7,14.4,2.5',09 58.1,+37 18,149.525,37.3,Sm
UGC  5364,N/A,Leo III,Galaxy,LEO,12.6,15.4,4.9',09 59.4,+30 45,149.85,30.75,Ir+
UGC  5373,N/A,Sextans B dwarf,Galaxy,SEX,11.3,14.3,5.1',10 00.0,+05 20,150.0,5.333333333333333,Ir+
UGC  5393,N/A,PGC 29036,Galaxy,LMI,14,14.7,2.3',10 01.7,+33 08,150.425,33.13333333333333,SBm
UGC  5425,N/A,NGC 3107,Galaxy,LEO,13.4,12.4,0.7',10 04.4,+13 37,151.10000000000002,13.616666666666667,Sbc
UGC  5459,N/A,MCG +09-17-027,Galaxy,UMA,12.6,13.8,4.2',10 08.1,+53 05,152.025,53.083333333333336,Sc
UGC  5460,N/A,PGC 29469,Galaxy,UMA,12.9,14.5,2.5',10 08.1,+51 50,152.025,51.833333333333336,SBd
UGC  5470,N/A,Leo I,Galaxy,LEO,10.2,14.8,10.7',10 08.4,+12 18,152.10000000000002,12.3,dE3
UGC  5522,N/A,PGC 29835,Galaxy,LEO,12.6,14.3,3',10 13.9,+07 01,153.47500000000002,7.016666666666667,Sc
UGC  5588,N/A,PGC 30263,Galaxy,LEO,14,12,0.4',10 20.9,+25 22,155.225,25.366666666666667,Pec
UGC  5612,N/A,PGC 30484,Galaxy,UMA,12.1,14.2,3.4',10 24.0,+70 53,156.0,70.88333333333334,SB+
UGC  5688,N/A,PGC 30983,Galaxy,UMA,13.2,15.3,3.6',10 30.4,+70 04,157.6,70.06666666666666,S(B)+
UGC  5707,N/A,MCG +07-22-016,Galaxy,UMA,13.4,14.8,2.5',10 31.3,+43 08,157.825,43.13333333333333,S(B)c
UGC  5708,N/A,PGC 31037,Galaxy,SEX,13.2,13.9,3.4',10 31.2,+04 29,157.79999999999998,4.483333333333333,S(B)d
UGC  5829,N/A,PGC 31923,Galaxy,LMI,13.5,15.4,4.6',10 42.6,+34 27,160.65,34.45,Ir+
UGC  5953,N/A,Mrk  155,Galaxy,UMA,13,11.1,0.6',10 51.3,+44 34,162.82500000000002,44.56666666666667,Pec
UGC  5998,N/A,Mrk  156,Galaxy,UMA,13.9,12.5,0.9',10 53.2,+50 17,163.3,50.28333333333333,Pec
UGC  6029,N/A,Mrk  157,Galaxy,UMA,13.2,12.9,0.9',10 55.0,+49 44,163.75,49.733333333333334,Pec
UGC  6104,N/A,PGC 33276,Galaxy,LEO,13.7,13.1,1.5',11 01.8,+16 36,165.45,16.6,Sbc
UGC  6112,N/A,PGC 33333,Galaxy,LEO,13.3,13.9,2.3',11 02.5,+16 44,165.625,16.733333333333334,Sd
UGC  6161,N/A,PGC 33625,Galaxy,UMA,13.5,14.6,2.6',11 06.8,+43 44,166.7,43.733333333333334,SBdm
UGC  6162,N/A,MCG +09-18-086,Galaxy,UMA,13.2,14.3,2.5',11 06.8,+51 12,166.7,51.2,Sc
UGC  6171,N/A,PGC 33660,Galaxy,LEO,13.9,14.2,2.2',11 07.2,+18 34,166.79999999999998,18.566666666666666,Irp+
UGC  6253,N/A,Leo II,Galaxy,LEO,12,17.3,12',11 13.5,+22 10,168.375,22.166666666666668,dE0
UGC  6345,N/A,PGC 34696,Galaxy,LEO,13.4,15.3,3.8',11 20.2,+02 32,170.04999999999998,2.533333333333333,Ir+
UGC  6399,N/A,PGC 34971,Galaxy,UMA,13.7,14.4,3.3',11 23.4,+50 55,170.85000000000002,50.916666666666664,Sm
